"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"beta_1_100_upper","a_b","a",4.28572596482477,4.2857259648373,1.252864478829e-11,2.92334248411648e-12
"beta_1_100_upper","a_b","b",-0.510825621564517,-0.510825621564415,1.02140518265514e-13,1.02140518265514e-13
"beta_200_1_lower","a_b","a",-0.356674943938726,-0.356674943938806,7.98250354705488e-14,7.98250354705488e-14
"beta_200_1_lower","a_b","b",4.68553565571584,4.68553565570554,1.02922115274851e-11,2.19659229675316e-12
"underflow_upper","a_b","a",7.26282643610564,7.26282643578694,3.18699733270478e-10,4.38809513194633e-11
"underflow_upper","a_b","b",-0.51082562376599,-0.510825623766162,1.71529457304587e-13,1.71529457304587e-13
"underflow_lower","a_b","a",-0.356674943938732,-0.356674943938984,2.51909604287448e-13,2.51909604287448e-13
"underflow_lower","a_b","b",6.97556002699279,6.97556002715297,1.60187418885016e-10,2.29640943897655e-11
"near_zero","a_b","a",-15.7830915198732,-15.7830915198806,7.45536965496285e-12,4.72364342915451e-13
"near_zero","a_b","b",0.0257367180176336,0.0257367180179275,2.93903790193895e-13,2.93903790193895e-13
"near_one","a_b","a",0.0257367180176336,0.0257367180177733,1.39718098202124e-13,1.39718098202124e-13
"near_one","a_b","b",-15.7830915148484,-15.7830915148526,4.13713507896318e-12,2.62124506790698e-13
"narrow_middle","a_b","a",0.750088252204817,0.750088252202611,2.20579110532526e-12,2.20579110532526e-12
"narrow_middle","a_b","b",-0.292841895935895,-0.292841895936825,9.30033827728494e-13,9.30033827728494e-13
"narrow_tail","a_b","a",3.93834827404278,3.9383482740097,3.3080649330941e-11,8.39962518024365e-12
"narrow_tail","a_b","b",-1.8764154302107,-1.87641543021113,4.31210622764411e-13,2.29805519514349e-13
"u_shaped","a_b","a",1.68965805208493,1.68965805208398,9.5590202420226e-13,5.65736968508674e-13
"u_shaped","a_b","b",0.218472271953932,0.21847227195497,1.03725361633167e-12,1.03725361633167e-12
"wide_center","a_b","a",0.001881408693907,0.00188140869376115,1.45845358359709e-13,1.45845358359709e-13
"wide_center","a_b","b",0.000982605013790972,0.000982605013865281,7.43090484978115e-14,7.43090484978115e-14
"skew_left","a_b","a",4.1332802262364,4.13328022622179,1.46131995393262e-11,3.53549692726351e-12
"skew_left","a_b","b",-0.509845410846314,-0.509845410845985,3.29514193708746e-13,3.29514193708746e-13
"skew_right","a_b","a",-2.99473826702681,-2.99473826702557,1.23634436022257e-12,4.12838869371557e-13
"skew_right","a_b","b",4.9841388834292,4.98413888339852,3.06830116869605e-11,6.1561309595849e-12
"concentrated_center","a_b","a",0.000856596536973414,0.000856596536980307,6.89314057222834e-15,6.89314057222834e-15
"concentrated_center","a_b","b",-0.000404013639160451,-0.000404013639167163,6.71229564985776e-15,6.71229564985776e-15
"full_support","a_b","a",0,0,0,0
"full_support","a_b","b",0,0,0,0
"left_boundary","a_b","a",-0.0144290901416069,-0.0144290901416363,2.93497864900516e-14,2.93497864900516e-14
"left_boundary","a_b","b",0.000940591548393535,0.000940591548393369,1.65991352607531e-16,1.65991352607531e-16
"right_boundary","a_b","a",0.000940591548393535,0.000940591548393369,1.65991352607531e-16,1.65991352607531e-16
"right_boundary","a_b","b",-0.0144290901416069,-0.0144290901416363,2.93497864900516e-14,2.93497864900516e-14
"cf_switch_left","a_b","a",0.0904116798218055,0.0904116798168264,4.9791282208389e-12,4.9791282208389e-12
"cf_switch_left","a_b","b",0.00938622017126534,0.00938622017538598,4.1206413281536e-12,4.1206413281536e-12
"cf_switch_right","a_b","a",0.0904116844831719,0.090411684434392,4.87799384218945e-11,4.87799384218945e-11
"cf_switch_right","a_b","b",0.00938621666833939,0.00938621661141146,5.69279224454933e-11,5.69279224454933e-11
"actual_chain_left_tail","record_chain","logit_m",-0.799591705399531,-0.79959170539833,1.20092824573703e-12,1.20092824573703e-12
"actual_chain_left_tail","record_chain","logit_rho",0.0198979263498827,0.0198979263484583,1.42434328220808e-12,1.42434328220808e-12
"actual_chain_left_tail","record_chain","log_phi_ratio",0.166723721789361,0.16672372178915,2.10914619103164e-13,2.10914619103164e-13
"actual_chain_right_tail","record_chain","logit_m",17.9313245458981,17.931324545886,1.20969900763157e-11,6.74628917978686e-13
"actual_chain_right_tail","record_chain","logit_rho",-1.80113245458981,-1.80113245458611,3.69970720726087e-12,2.05410057313694e-12
"actual_chain_right_tail","record_chain","log_phi_ratio",-34.0720315781141,-34.0720315781279,1.37774236463883e-11,4.04361671677734e-13
"actual_chain_endpoint","record_chain","logit_m",0.0358407607156619,0.0358407607191154,3.45348749597463e-12,3.45348749597463e-12
"actual_chain_endpoint","record_chain","logit_rho",-0.00544997412653444,-0.00544997411549733,1.10371078596017e-11,1.10371078596017e-11
"actual_chain_endpoint","record_chain","log_phi_ratio",0.00943651649783338,0.00943651649787809,4.47090281463502e-14,4.47090281463502e-14
"actual_chain_narrow","record_chain","logit_m",0.168845395322886,0.168845395332681,9.7955810129946e-12,9.7955810129946e-12
"actual_chain_narrow","record_chain","logit_rho",-0.113769079064577,-0.113769079067068,2.49117393380516e-12,2.49117393380516e-12
"actual_chain_narrow","record_chain","log_phi_ratio",0.509147590149645,0.509147590147715,1.93067783982315e-12,1.93067783982315e-12
"actual_chain_u_shape","record_chain","logit_m",0.392944273814913,0.392944273813949,9.64339719189411e-13,9.64339719189411e-13
"actual_chain_u_shape","record_chain","logit_rho",-0.415766564288948,-0.41576656429351,4.56162885242861e-12,4.56162885242861e-12
"actual_chain_u_shape","record_chain","log_phi_ratio",0.483637753520096,0.483637753520177,8.14903700074865e-14,8.14903700074865e-14
