"Case","Mode","Stan","Reference","AbsError"
"beta_1_100_upper","a_b",-51.0825623886737,-51.0825623886737,0
"beta_200_1_lower","a_b",-71.3349887877465,-71.3349887877465,0
"underflow_upper","a_b",-1021.65124753198,-1021.65124753198,0
"underflow_lower","a_b",-713.349887877465,-713.349887877465,0
"near_zero","a_b",-4.68135387784411,-4.68135387784411,8.88178419700125e-16
"near_one","a_b",-4.68135387633668,-4.68135387633668,8.88178419700125e-16
"narrow_middle","a_b",-27.731964914286,-27.731964914286,3.5527136788005e-15
"narrow_tail","a_b",-237.327322129468,-237.327322129468,1.4210854715202e-13
"u_shaped","a_b",-0.276760542291714,-0.276760542291714,1.11022302462516e-16
"wide_center","a_b",-0.00107385637742568,-0.0010738563774257,1.66967134562768e-17
"skew_left","a_b",-50.661788160339,-50.661788160339,0
"skew_right","a_b",-299.067366239022,-299.067366239022,0
"concentrated_center","a_b",-0.224150341411172,-0.2241503414112,2.88657986402541e-14
"full_support","a_b",0,0,0
"left_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0
"right_boundary","a_b",-0.00220977769053513,-0.00220977769053513,0
"cf_switch_left","a_b",-5.91022760927235,-5.91022760927284,4.82280881897168e-13
"cf_switch_right","a_b",-5.91022761164611,-5.91022761164612,1.95399252334028e-14
"actual_chain_left_tail","record_chain",-0.29329910979218,-0.29329910979218,1.11022302462516e-16
"actual_chain_right_tail","record_chain",-37.1798602333756,-37.1798602333756,7.105427357601e-15
"actual_chain_endpoint","record_chain",-0.0276960650822317,-0.0276960650822314,2.22044604925031e-16
"actual_chain_narrow","record_chain",-21.5984923858451,-21.5984923858451,7.105427357601e-15
"actual_chain_u_shape","record_chain",-0.735358603805123,-0.735358603805123,0
