"Group","RelativeOffset","StanValueChange","ReferenceValueChange","ValueChangeResidual","ValueChangeScaledResidual","StanGradientChange_a","ReferenceGradientChange_a","GradientChangeScaledResidual_a","StanGradientChange_b","ReferenceGradientChange_b","GradientChangeScaledResidual_b"
"width_a2.5_b7.5",0.01,0.0200005381416766,0.0200005381416766,0,0,9.99989048788841e-08,1.00001488589907e-07,2.58371102290766e-12,-4.28570816474183e-08,-4.28574706556883e-08,3.89008270040847e-13
"width_a2.5_b7.5",1e-04,0.000199998712979266,0.000199998712981042,-1.77635683940025e-15,1.49795189370429e-16,9.99989147043578e-10,1.00186525742174e-09,1.87611037816282e-12,-4.28570817723184e-10,-4.27312504824862e-10,1.25831289832234e-12
"width_a2.5_b7.5",1e-06,1.99999841044018e-06,1.99999841044018e-06,0,0,9.99983429395002e-12,1.15463194561016e-11,1.54648516215161e-12,-4.28573149191536e-12,-4.44089209850063e-12,1.5516060658527e-13
"width_a1_b1",0.01,0.0200006667146262,0.0200006667146262,0,0,9.99993332584381e-08,1.00002968878021e-07,3.63561958316438e-12,-4.28572654032067e-08,-4.28568291965803e-08,4.36206626375224e-13
"width_a1_b1",1e-04,0.000199999998709899,0.000199999998711675,-1.77635683940025e-15,1.39683658131093e-16,9.99993421402223e-10,9.94019672129198e-10,5.97374927302496e-12,-4.28572621835599e-10,-4.24845381097327e-10,3.72724073827158e-12
"width_a1_b1",1e-06,2.00001126771099e-06,2.00001126771099e-06,0,0,9.99991756067686e-12,1.48029644098102e-11,4.80304684913335e-12,-4.28568291965803e-12,-1.25824906049843e-11,8.29680768532626e-12
"tail_b_over_a_1",0.01,0.0199995563266224,0.019999556300176,2.64464006249909e-11,2.66770575768637e-12,-277.271205106348,-277.271204445069,4.72294060072528e-11,-277.271205080711,-277.271204445069,4.53983899258475e-11
"tail_b_over_a_1",1e-04,0.00019998890391193,0.000199988896602221,7.30970839413203e-12,7.38086915993943e-13,-2.77243495583571,-2.77243472856208,1.63945078992466e-11,-2.77243486717816,-2.77243472856208,9.99914742056176e-12
"tail_b_over_a_2",0.01,0.0199998338600356,0.0199998338929142,-3.28785887404592e-11,3.18621770679194e-12,-739.400143062383,-739.40014452047,3.90500491596457e-11,-184.850035597301,-184.850036067217,5.03436887061291e-11
"tail_b_over_a_2",1e-04,0.000199991672579003,0.000199991672529265,4.9737991503207e-14,4.82469079666171e-15,-7.39326214287576,-7.3932620676278,2.03542075552319e-12,-1.8483156189759,-1.8483151761684,4.79139079749007e-11
"legacy_tail_b_over_a_1",1e-04,0.000199999989568767,0.000199999989568767,0,0,-2772.58861022629,-2772.58784060553,5.55108570240979e-11,-2772.58861022256,-2772.58784060553,5.55105883280498e-11
"legacy_tail_b_over_a_2",1e-04,0.000199999992339883,0.00019999999233633,3.5527136788005e-15,2.06351472957887e-16,-7393.56968469173,-7393.56985894591,4.71319718041779e-12,-1848.39242117666,-1848.39181576297,6.55005071856025e-11
