"Group","RelativeOffset","Side","a","b","lo","hi","ExpectedBranch","Threshold","WidthTrigger","ReferenceTailLogDifference","Stan","Reference","ValueAbsError","Stan_da","Ref_da","GradientScaledError_a","Stan_db","Ref_db","GradientScaledError_b","ValueScaledError"
"width_a2.5_b7.5",0.01,-1,2.5,7.5,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,2.18268016352052e-05,-11.8685209387165,-11.8685209387165,1.77635683940025e-15,0.344628094068706,0.34462809406488,3.82527343134598e-12,-0.0516819605451693,-0.0516819605453417,1.72438452405999e-13,1.49669604879372e-16
"width_a2.5_b7.5",0.01,1,2.5,7.5,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,2.2267749169691e-05,-11.8485204005748,-11.8485204005748,1.77635683940025e-15,0.344628194067611,0.344628194066369,1.24156240843831e-12,-0.051682003402251,-0.0516820034028124,5.61446722446846e-13,1.49922250149822e-16
"width_a2.5_b7.5",1e-04,-1,2.5,7.5,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,2.20450706538422e-05,-11.8585706715019,-11.8585706715019,3.5527136788005e-15,0.344628143568166,0.34462814356632,1.84574577843932e-12,-0.0516819817594249,-0.051681981759878,4.53158344182469e-13,2.99590378740858e-16
"width_a2.5_b7.5",1e-04,1,2.5,7.5,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,2.20494801306259e-05,-11.858370672789,-11.858370672789,1.77635683940025e-15,0.344628144568155,0.344628144568186,3.0364599723498e-14,-0.0516819821879957,-0.0516819821871905,8.05154554139875e-13,1.49797715758405e-16
"width_a2.5_b7.5",1e-06,-1,2.5,7.5,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,2.2047253344315e-05,-11.8584716671452,-11.8584716671452,1.77635683940025e-15,0.344628144063161,0.3446281440637,5.39457367665364e-13,-0.0516819819715674,-0.0516819819717579,1.90521209919581e-13,1.49796439984909e-16
"width_a2.5_b7.5",1e-06,1,2.5,7.5,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,2.20472974401531e-05,-11.8584696671467,-11.8584696671467,1.77635683940025e-15,0.344628144073161,0.344628144075247,2.08594252981698e-12,-0.0516819819758532,-0.0516819819761988,3.4568181650485e-13,1.49796465248931e-16
"width_a1_b1",0.01,-1,1,1,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,9.89995099542895e-06,-12.7269486051527,-12.7269486051527,0,-0.203967854342271,-0.203967854341217,1.05335185018873e-12,0.643322934629696,0.643322934629579,1.16795462190566e-13,0
"width_a1_b1",0.01,1,1,1,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,1.009994899559e-05,-12.7069479384381,-12.7069479384381,0,-0.203967754342938,-0.203967754338249,4.68897143335312e-12,0.643322891772431,0.64332289177275,3.19411164184658e-13,0
"width_a1_b1",1e-04,-1,1,1,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,9.99895001041473e-06,-12.7169982742945,-12.7169982742945,1.77635683940025e-15,-0.203967804842599,-0.203967804837113,5.48627809848767e-12,0.64332291341535,0.643322913413217,2.1325163857e-12,1.39683658131093e-16
"width_a1_b1",1e-04,1,1,1,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,1.00009499903742e-05,-12.7167982742958,-12.7167982742958,0,-0.203967803842606,-0.203967803843093,4.87471174537291e-13,0.643322912986777,0.643322912988372,1.59472435257157e-12,0
