"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"beta_1_100_upper","a_b","a",4.28572596482477,4.2857259648373,1.25295329667097e-11,2.92354972518298e-12
"beta_1_100_upper","a_b","b",-0.510825621564517,-0.510825621564415,1.02140518265514e-13,1.02140518265514e-13
"beta_200_1_lower","a_b","a",-0.356674943938726,-0.356674943938806,7.98250354705488e-14,7.98250354705488e-14
"beta_200_1_lower","a_b","b",4.68553565571584,4.68553565570554,1.02913233490654e-11,2.1964027392543e-12
"underflow_upper","a_b","a",7.26282643610564,7.26282643578694,3.18699733270478e-10,4.38809513194633e-11
"underflow_upper","a_b","b",-0.51082562376599,-0.510825623766162,1.71529457304587e-13,1.71529457304587e-13
"underflow_lower","a_b","a",-0.356674943938732,-0.356674943938984,2.51909604287448e-13,2.51909604287448e-13
"underflow_lower","a_b","b",6.97556002699279,6.97556002715297,1.60187418885016e-10,2.29640943897655e-11
"near_zero","a_b","a",-15.7830915198732,-15.7830915198806,7.45536965496285e-12,4.72364342915451e-13
"near_zero","a_b","b",0.0257367180176336,0.0257367180179275,2.93903790193895e-13,2.93903790193895e-13
"near_one","a_b","a",0.0257367180176336,0.0257367180177733,1.39718098202124e-13,1.39718098202124e-13
"near_one","a_b","b",-15.7830915148484,-15.7830915148526,4.13713507896318e-12,2.62124506790698e-13
"narrow_middle","a_b","a",0.750088252204817,0.750088252202611,2.20601314993019e-12,2.20601314993019e-12
"narrow_middle","a_b","b",-0.292841895935895,-0.292841895936825,9.29978316577262e-13,9.29978316577262e-13
"narrow_tail","a_b","a",3.93834827404277,3.9383482740097,3.30668825654357e-11,8.39612961191207e-12
"narrow_tail","a_b","b",-1.8764154302107,-1.87641543021113,4.37871960912162e-13,2.33355553286456e-13
"u_shaped","a_b","a",1.68965805208493,1.68965805208398,9.5590202420226e-13,5.65736968508674e-13
"u_shaped","a_b","b",0.218472271953932,0.21847227195497,1.0373091274829e-12,1.0373091274829e-12
"wide_center","a_b","a",0.001881408693907,0.00188140869376115,1.4584492467884e-13,1.4584492467884e-13
"wide_center","a_b","b",0.000982605013790972,0.000982605013865281,7.4308831657377e-14,7.4308831657377e-14
"skew_left","a_b","a",4.1332802262364,4.13328022622179,1.46131995393262e-11,3.53549692726351e-12
"skew_left","a_b","b",-0.509845410846314,-0.509845410845985,3.29514193708746e-13,3.29514193708746e-13
"skew_right","a_b","a",-2.99473826702681,-2.99473826702557,1.23634436022257e-12,4.12838869371557e-13
"skew_right","a_b","b",4.9841388834292,4.98413888339852,3.06830116869605e-11,6.1561309595849e-12
"concentrated_center","a_b","a",0.000856596536973415,0.000856596536980307,6.89162268918686e-15,6.89162268918686e-15
"concentrated_center","a_b","b",-0.000404013639160454,-0.000404013639167163,6.70850094225406e-15,6.70850094225406e-15
"full_support","a_b","a",0,0,0,0
"full_support","a_b","b",0,0,0,0
"left_boundary","a_b","a",-0.0144290901416069,-0.0144290901416363,2.93497864900516e-14,2.93497864900516e-14
"left_boundary","a_b","b",0.000940591548393535,0.000940591548393369,1.65991352607531e-16,1.65991352607531e-16
"right_boundary","a_b","a",0.000940591548393535,0.000940591548393369,1.65991352607531e-16,1.65991352607531e-16
"right_boundary","a_b","b",-0.0144290901416069,-0.0144290901416363,2.93497864900516e-14,2.93497864900516e-14
"cf_switch_left","a_b","a",0.0904116798217842,0.0904116798168264,4.9578119387661e-12,4.9578119387661e-12
"cf_switch_left","a_b","b",0.00938622017127955,0.00938622017538598,4.10643047343839e-12,4.10643047343839e-12
"cf_switch_right","a_b","a",0.0904116844831719,0.090411684434392,4.87799384218945e-11,4.87799384218945e-11
"cf_switch_right","a_b","b",0.00938621666834649,0.00938621661141146,5.69350278728509e-11,5.69350278728509e-11
"grid_1","a_b","a",4.34124527931758,4.34124527951551,1.97929672651753e-10,4.55928333710373e-11
"grid_1","a_b","b",10.0700842782616,10.0700842784573,1.95734983776674e-10,1.94372736477891e-11
"grid_2","a_b","a",-4.60526674099173,-4.60526674099515,3.42037509426518e-12,7.42709442607894e-13
"grid_2","a_b","b",16.2661416107964,16.2661416107657,3.06847880437999e-11,1.8864208106667e-12
"grid_3","a_b","a",-5.26855257805757,-5.26855257806343,5.86020121318143e-12,1.11229813622463e-12
"grid_3","a_b","b",19.9944749231545,19.9944749231499,4.56523707725864e-12,2.28324929502047e-13
"grid_4","a_b","a",-4.7938761260865,-4.79387612608721,7.07878200501e-13,1.47663014621693e-13
"grid_4","a_b","b",22.0065970189419,22.0065970188088,1.33059785412115e-10,6.04635897582849e-12
"grid_5","a_b","a",-4.62415694182107,-4.62415694181715,3.91953136613665e-12,8.47620748052812e-13
"grid_5","a_b","b",24.3909918705429,24.3909918708596,3.16699555469313e-10,1.29842835890442e-11
"grid_6","a_b","a",-4.60991935386481,-4.60991935386422,5.91526827520283e-13,1.28316090177248e-13
"grid_6","a_b","b",25.7839107822006,25.7839107812667,9.33962240878827e-10,3.62226757919671e-11
"grid_7","a_b","a",-4.60612015265445,-4.60612015265535,8.90842954959226e-13,1.93404193862739e-13
"grid_7","a_b","b",27.3951099655732,27.3951098885542,7.70189885201944e-08,2.81141374623115e-09
"grid_8","a_b","a",10.5373047384888,10.5373047384264,6.24034157681308e-11,5.92214207685994e-12
"grid_8","a_b","b",1.05758154945218,1.05758154945919,7.00817182064384e-12,6.62660182018829e-12
"grid_9","a_b","a",-2.93944343511004,-2.93944343513116,2.11142214823212e-11,7.18306779779183e-12
"grid_9","a_b","b",2.72340650240197,2.72340650240288,9.14379683081279e-13,3.35748512854954e-13
"grid_10","a_b","a",-5.05996913660833,-5.05996913661488,6.55298038054752e-12,1.29506331039234e-12
"grid_10","a_b","b",4.99447594689843,4.99447594689747,9.65449942214036e-13,1.93303552260326e-13
"grid_11","a_b","a",-4.76160714541354,-4.76160714541389,3.46389583683049e-13,7.27463591818304e-14
"grid_11","a_b","b",6.83010308339191,6.83010308339948,7.57349738478297e-12,1.1088408611563e-12
"grid_12","a_b","a",-4.62113495387705,-4.62113495387536,1.68132174849234e-12,3.63833076781787e-13
"grid_12","a_b","b",9.18520935154334,9.1852093512775,2.65846011870963e-10,2.89428364345325e-11
"grid_13","a_b","a",-4.60916798400492,-4.60916798400272,2.20534701611541e-12,4.78469655211011e-13
"grid_13","a_b","b",10.5758570952236,10.575857096029,8.05419730909307e-10,7.61564498835486e-11
"grid_14","a_b","a",-4.60597009790765,-4.60597009790869,1.03650421579005e-12,2.25034942424108e-13
"grid_14","a_b","b",12.1864549271397,12.1864549233427,3.79700360042534e-09,3.11575730949641e-10
"grid_15","a_b","a",14.2656236309518,14.2656236309824,3.05728775629177e-11,2.14311539079994e-12
"grid_15","a_b","b",0.0753709693116646,0.0753709692994745,1.21900545213549e-11,1.21900545213549e-11
"grid_16","a_b","a",-0.668408529889433,-0.668408529885811,3.62210261783957e-12,3.62210261783957e-12
