"id","a","b","lo","hi"
"beta_1_100_upper",1,100,0.4,0.5
"beta_200_1_lower",200,1,0.6,0.7
"underflow_upper",1,2000,0.4,0.5
"underflow_lower",2000,1,0.6,0.7
"near_zero",0.3,12,0,1e-08
"near_one",12,0.3,0.99999999,1
"narrow_middle",2.5,7.5,0.45,0.450000000001
"narrow_tail",2.5,120,0.85,0.8500000001
"u_shaped",0.2,0.4,0.001,0.99
"wide_center",2,3,0.01,0.95
"skew_left",1.1,100,0.4,0.5
"skew_right",100,1.1,0.01,0.05
"concentrated_center",800,1000,0.43,0.46
"full_support",2,3,0,1
"left_boundary",0.2,10,0,0.3
"right_boundary",10,0.2,0.7,1
"cf_switch_left",5,7,0.428571427571429,0.429571428571429
"cf_switch_right",5,7,0.428571429571429,0.429571430571429
"grid_1",0.05,0.05,0.001,0.01
"grid_2",0.2,0.05,0.001,0.01
"grid_3",1,0.05,0.001,0.01
"grid_4",5,0.05,0.001,0.01
"grid_5",50,0.05,0.001,0.01
"grid_6",200,0.05,0.001,0.01
"grid_7",1000,0.05,0.001,0.01
"grid_8",0.05,0.2,0.001,0.01
"grid_9",0.2,0.2,0.001,0.01
"grid_10",1,0.2,0.001,0.01
"grid_11",5,0.2,0.001,0.01
"grid_12",50,0.2,0.001,0.01
"grid_13",200,0.2,0.001,0.01
"grid_14",1000,0.2,0.001,0.01
"grid_15",0.05,1,0.001,0.01
"grid_16",0.2,1,0.001,0.01
"grid_17",1,1,0.001,0.01
"grid_18",5,1,0.001,0.01
"grid_19",50,1,0.001,0.01
"grid_20",200,1,0.001,0.01
"grid_21",1000,1,0.001,0.01
"grid_22",0.05,5,0.001,0.01
"grid_23",0.2,5,0.001,0.01
"grid_24",1,5,0.001,0.01
"grid_25",5,5,0.001,0.01
"grid_26",50,5,0.001,0.01
"grid_27",200,5,0.001,0.01
"grid_28",1000,5,0.001,0.01
"grid_29",0.05,50,0.001,0.01
"grid_30",0.2,50,0.001,0.01
"grid_31",1,50,0.001,0.01
"grid_32",5,50,0.001,0.01
"grid_33",50,50,0.001,0.01
"grid_34",200,50,0.001,0.01
"grid_35",1000,50,0.001,0.01
