"Group","RelativeOffset","Side","a","b","lo","hi","ExpectedBranch","Threshold","WidthTrigger","ReferenceTailLogDifference"
"width_a2.5_b7.5",0.01,-1,2.5,7.5,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,2.18268016352052e-05
"width_a2.5_b7.5",0.01,1,2.5,7.5,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,2.2267749169691e-05
"width_a2.5_b7.5",1e-04,-1,2.5,7.5,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,2.20450706538422e-05
"width_a2.5_b7.5",1e-04,1,2.5,7.5,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,2.20494801306259e-05
"width_a2.5_b7.5",1e-06,-1,2.5,7.5,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,2.2047253344315e-05
"width_a2.5_b7.5",1e-06,1,2.5,7.5,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,2.20472974401531e-05
"width_a1_b1",0.01,-1,1,1,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,9.89995099542895e-06
"width_a1_b1",0.01,1,1,1,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,1.009994899559e-05
"width_a1_b1",1e-04,-1,1,1,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,9.99895001041473e-06
"width_a1_b1",1e-04,1,1,1,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,1.00009499903742e-05
"width_a1_b1",1e-06,-1,1,1,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,9.99994000050464e-06
"width_a1_b1",1e-06,1,1,1,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,9.99996000028425e-06
"tail_b_over_a_1",0.01,-1,3.57067040618563e-08,3.57067040618563e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.89999999756463e-08
"tail_b_over_a_1",0.01,1,3.64280516186615e-08,3.64280516186615e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00999999474993e-07
"tail_b_over_a_1",1e-04,-1,3.60637711024749e-08,3.60637711024749e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.99899998355147e-08
"tail_b_over_a_1",1e-04,1,3.60709845780429e-08,3.60709845780429e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00010000059214e-07
"tail_b_over_a_2",0.01,-1,1.78533518922078e-08,3.57067037844156e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.90000004197356e-08
"tail_b_over_a_2",0.01,1,1.8214025667808e-08,3.64280513356159e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.01000000141127e-07
"tail_b_over_a_2",1e-04,-1,1.80318854111299e-08,3.60637708222598e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.99900005016485e-08
"tail_b_over_a_2",1e-04,1,1.80354921488859e-08,3.60709842977718e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00010000281259e-07
