"Group","RelativeOffset","StanValueChange","ReferenceValueChange","ValueChangeResidual","StanGradientChange_a","ReferenceGradientChange_a","GradientChangeScaledResidual_a","StanGradientChange_b","ReferenceGradientChange_b","GradientChangeScaledResidual_b"
"width_a2.5_b7.5",0.01,0.0200005380699828,0.0200005381416766,-7.16937620381941e-11,9.99745469743019e-08,1.00001488589907e-07,2.6941615605125e-11,-4.28411348271651e-08,-4.28574706556883e-08,1.63358285232285e-11
"width_a2.5_b7.5",1e-04,0.000199998733810602,0.000199998712981042,2.08295602988073e-11,1.01494562754212e-09,1.00186525742174e-09,1.30803701203774e-11,-4.22919768650054e-10,-4.27312504824862e-10,4.39273617480751e-12
"width_a2.5_b7.5",1e-06,2.00001460548549e-06,1.99999841044018e-06,1.61950453048121e-11,3.35792504913002e-12,1.15463194561016e-11,8.18839440697161e-12,-7.05042274562473e-12,-4.44089209850063e-12,2.6095306471241e-12
"width_a1_b1",0.01,0.0200006666901267,0.0200006667146262,-2.44995135290083e-11,1.00049736162511e-07,1.00002968878021e-07,4.67672844894906e-11,-4.28666045992898e-08,-4.28568291965803e-08,9.77540270952204e-12
"width_a1_b1",1e-04,0.000200000002807954,0.000199999998711675,4.09627887165698e-12,9.86241283085221e-10,9.94019672129198e-10,7.77838904397754e-12,-4.35565916667713e-10,-4.24845381097327e-10,1.07205355703854e-11
"width_a1_b1",1e-06,1.9999875195964e-06,2.00001126771099e-06,-2.3748114585942e-11,4.01352007184386e-11,1.48029644098102e-11,2.53322363086284e-11,-3.06097369673353e-11,-1.25824906049843e-11,1.8027246362351e-11
"tail_b_over_a_1",0.01,0.020000659472899,0.0200006655962355,-6.12333650451546e-09,-277286.509481611,-277286.587112393,5.54387905825431e-09,-277286.495565524,-277286.587070936,6.53471369265447e-09
"tail_b_over_a_1",1e-04,0.000200003481893418,0.000199999989568767,3.49232465168825e-09,-2772.61828807555,-2772.5884972401,2.14873986095956e-09,-2772.60437198915,-2772.5884972401,1.14500669566459e-09
"tail_b_over_a_2",0.01,0.0200006227228364,0.0200006658738481,-4.31510116527534e-08,-739429.061237484,-739430.90322642,4.9328516002511e-08,-184857.321275316,-184857.725545138,4.3305431914939e-08
"tail_b_over_a_2",1e-04,0.000200248258170888,0.00019999999233633,2.4826583455706e-07,-7404.03311862797,-7393.56985895336,2.83008455114888e-07,-1850.13221780397,-1848.39181576483,1.88296396520419e-07
