"Group","RelativeOffset","Side","a","b","lo","hi","ExpectedBranch","Threshold","WidthTrigger","ReferenceTailLogDifference","Stan","Reference","ValueAbsError","Stan_da","Ref_da","GradientScaledError_a","Stan_db","Ref_db","GradientScaledError_b"
"width_a2.5_b7.5",0.01,-1,2.5,7.5,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,2.18268016352052e-05,-11.8685209387165,-11.8685209387165,1.77635683940025e-15,0.344628094068706,0.34462809406488,3.82527343134598e-12,-0.0516819605451693,-0.0516819605453417,1.72438452405999e-13
"width_a2.5_b7.5",0.01,1,2.5,7.5,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,2.2267749169691e-05,-11.8485204006465,-11.8485204005748,7.16919856813547e-11,0.344628194043253,0.344628194066369,2.3116342173779e-11,-0.0516820033863041,-0.0516820034028124,1.65082669756345e-11
"width_a2.5_b7.5",1e-04,-1,2.5,7.5,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,2.20450706538422e-05,-11.8585706715019,-11.8585706715019,3.5527136788005e-15,0.344628143568166,0.34462814356632,1.84574577843932e-12,-0.0516819817594249,-0.051681981759878,4.53158344182469e-13
"width_a2.5_b7.5",1e-04,1,2.5,7.5,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,2.20494801306259e-05,-11.8583706727681,-11.858370672789,2.08331130124861e-11,0.344628144583112,0.344628144568186,1.49261158988168e-11,-0.0516819821823447,-0.0516819821871905,4.84589451898998e-12
"width_a2.5_b7.5",1e-06,-1,2.5,7.5,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,2.2047253344315e-05,-11.8584716671452,-11.8584716671452,1.77635683940025e-15,0.344628144063161,0.3446281440637,5.39457367665364e-13,-0.0516819819715674,-0.0516819819717579,1.90521209919581e-13
"width_a2.5_b7.5",1e-06,1,2.5,7.5,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,2.20472974401531e-05,-11.8584696671305,-11.8584696671467,1.61968216616515e-11,0.344628144066519,0.344628144075247,8.72785177463697e-12,-0.0516819819786178,-0.0516819819761988,2.41900943720452e-12
"width_a1_b1",0.01,-1,1,1,0.3,0.30000297,"quadrature","relative_width_1e-5",9.89999999997012e-06,9.89995099542895e-06,-12.7269486051527,-12.7269486051527,0,-0.203967854342271,-0.203967854341217,1.05335185018873e-12,0.643322934629696,0.643322934629579,1.16795462190566e-13
"width_a1_b1",0.01,1,1,1,0.3,0.30000303,"tail_difference","relative_width_1e-5",1.01000000000499e-05,1.009994899559e-05,-12.7069479384626,-12.7069479384381,2.44995135290083e-11,-0.203967754292535,-0.203967754338249,4.57139326393019e-11,0.643322891763091,0.64332289177275,9.65860724733147e-12
"width_a1_b1",1e-04,-1,1,1,0.3,0.3000029997,"quadrature","relative_width_1e-5",9.99900000001978e-06,9.99895001041473e-06,-12.7169982742945,-12.7169982742945,1.77635683940025e-15,-0.203967804842599,-0.203967804837113,5.48627809848767e-12,0.64332291341535,0.643322913413217,2.1325163857e-12
"width_a1_b1",1e-04,1,1,1,0.3,0.3000030003,"tail_difference","relative_width_1e-5",1.00010000000002e-05,1.00009499903742e-05,-12.7167982742917,-12.7167982742958,4.09805522849638e-12,-0.203967803856358,-0.203967803843093,1.32646671424652e-11,0.643322912979784,0.643322912988372,8.58801918468544e-12
"width_a1_b1",1e-06,-1,1,1,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,9.99994000050464e-06,-12.7168992693013,-12.7168992693013,0,-0.203967804347603,-0.203967804353796,6.19335138729582e-12,0.643322913203206,0.643322913209676,6.4698246760031e-12
"width_a1_b1",1e-06,1,1,1,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,9.99996000028425e-06,-12.7168972693138,-12.71689726929,2.3748114585942e-11,-0.203967804307467,-0.203967804338993,3.15255876959242e-11,0.643322913172597,0.643322913197094,2.44970710383541e-11
"tail_b_over_a_1",0.01,-1,3.57067040618563e-08,3.57067040618563e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.89999999756463e-08,-16.8212931719315,-16.8212931719315,0,14002971.8691107,14002971.8693673,1.83205478663275e-11,14002971.8691107,14002971.8693258,1.53599696781725e-11
"tail_b_over_a_1",0.01,1,3.64280516186615e-08,3.64280516186615e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00999999474993e-07,-16.8012925124586,-16.8012925063352,6.12333650451546e-09,13725685.3596291,13725685.2822549,5.63718596138427e-09,13725685.3735452,13725685.2822549,6.6510578460549e-09
"tail_b_over_a_1",1e-04,-1,3.60637711024749e-08,3.60637711024749e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.99899998355147e-08,-16.811342841628,-16.811342841628,0,13864328.5756573,13864328.5752405,3.00584895147804e-11,13864328.5756573,13864328.5752405,3.00583551667563e-11
"tail_b_over_a_1",1e-04,1,3.60709845780429e-08,3.60709845780429e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00010000059214e-07,-16.8111428381461,-16.8111428416384,3.49232465168825e-09,13861555.9573692,13861555.9867433,2.11910515010321e-09,13861555.9712853,13861555.9867433,1.11517135247043e-09
"tail_b_over_a_2",0.01,-1,1.78533518922078e-08,3.57067037844156e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.90000004197356e-08,-17.226758274068,-17.226758274068,7.105427357601e-15,37341259.8905897,37341259.8905846,1.36276777018498e-13,9335314.39537841,9335314.39510692,2.90824237434102e-11
"tail_b_over_a_2",0.01,1,1.8214025667808e-08,3.64280513356159e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.01000000141127e-07,-17.2067576513452,-17.2067576081942,4.3151004547326e-08,36601830.8293522,36601828.9873582,5.03251907288397e-08,9150457.07410309,9150456.66956178,4.42099591440656e-08
"tail_b_over_a_2",1e-04,-1,1.80318854111299e-08,3.60637708222598e-08,0.2,0.8,"quadrature","tail_log_gap_1e-7",3,9.99900005016485e-08,-17.2168079436271,-17.2168079436271,0,36971544.4385078,36971544.4379962,1.38395252422264e-11,9242885.53235794,9242885.53207514,3.0596285266734e-11
"tail_b_over_a_2",1e-04,1,1.80354921488859e-08,3.60709842977718e-08,0.2,0.8,"tail_difference","tail_log_gap_1e-7",3,1.00010000281259e-07,-17.2166076953689,-17.2166079436348,2.4826583455706e-07,36964140.4053892,36964150.8681372,2.83051220175736e-07,9241035.40014013,9241037.14025937,1.88303457151693e-07
