"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"design","fivefold",,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,2.32473552304494e-18,0.03,0.03,12904693760908332,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.03,2.32473552304494e-18,0.03,0.03,12904693760908332,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"joint_bb","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","record_equal","record_equal","model_vs_null","M3","Null",0.03,2.32473552304494e-18,0.03,0.03,12904693760908332,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
