"Design","Route","Model","TrainWeighting","EvalWeighting","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointRecords","PointSpeciesUsed","PISpeciesUsed","Bias","BiasDefinition","PointSet"
"fivefold","joint_bb","Null","record_equal","record_equal",114,12,70,11,11,-0.0990996701710987,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","record_equal","species_equal",114,12,70,11,11,-0.0921766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","species_equal","record_equal",114,12,70,11,11,-0.0990996701710987,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","Null","species_equal","species_equal",114,12,70,11,11,-0.0921766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","record_equal","record_equal",114,12,70,11,11,-0.0490996701710988,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","record_equal","species_equal",114,12,70,11,11,-0.0421766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","species_equal","record_equal",114,12,70,11,11,-0.0490996701710988,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M1","species_equal","species_equal",114,12,70,11,11,-0.0421766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","record_equal","record_equal",114,12,70,11,11,0.000900329828901235,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","record_equal","species_equal",114,12,70,11,11,0.00782333747701711,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","species_equal","record_equal",114,12,70,11,11,0.000900329828901235,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M2","species_equal","species_equal",114,12,70,11,11,0.00782333747701711,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","record_equal","record_equal",114,12,70,11,11,0.0509003298289013,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","record_equal","species_equal",114,12,70,11,11,0.0578233374770172,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","species_equal","record_equal",114,12,70,11,11,0.0509003298289013,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"fivefold","joint_bb","M3","species_equal","species_equal",114,12,70,11,11,0.0578233374770172,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","record_equal","record_equal",114,12,70,11,11,-0.0990996701710987,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","record_equal","species_equal",114,12,70,11,11,-0.0921766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","species_equal","record_equal",114,12,70,11,11,-0.0990996701710987,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","Null","species_equal","species_equal",114,12,70,11,11,-0.0921766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","record_equal","record_equal",114,12,70,11,11,-0.0490996701710988,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","record_equal","species_equal",114,12,70,11,11,-0.0421766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","species_equal","record_equal",114,12,70,11,11,-0.0490996701710988,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M1","species_equal","species_equal",114,12,70,11,11,-0.0421766625229829,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","record_equal","record_equal",114,12,70,11,11,0.000900329828901235,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","record_equal","species_equal",114,12,70,11,11,0.00782333747701711,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","species_equal","record_equal",114,12,70,11,11,0.000900329828901235,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M2","species_equal","species_equal",114,12,70,11,11,0.00782333747701711,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","record_equal","record_equal",114,12,70,11,11,0.0509003298289013,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","record_equal","species_equal",114,12,70,11,11,0.0578233374770172,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","species_equal","record_equal",114,12,70,11,11,0.0509003298289013,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"tenfold","joint_bb","M3","species_equal","species_equal",114,12,70,11,11,0.0578233374770172,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
