"Scope","Design","Fold","Route","Model","EvalWeighting","Family","ModelA","ModelB","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"design","fivefold",,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M2","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M3","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M2","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M3","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"joint_bb","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"binary","Null","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M1","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M2","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"binary","M3","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","fivefold",,"joint_bb","Null","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M1","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M2","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","fivefold",,"joint_bb","M3","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"binary","Null","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M1","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M2","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"binary","M3","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",70,11,50,
"design","tenfold",,"joint_bb","Null","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M1","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M2","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
"design","tenfold",,"joint_bb","M3","species_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",114,12,50,
