"Scope","Design","Fold","Route","Model","EvalWeighting","Family","ModelA","ModelB","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",1,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",2,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",3,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",4,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",5,"binary","Null","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",14,2,50,
"fold","fivefold",1,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",2,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",3,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",4,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",5,"binary","M1","record_equal","training_method","species_equal","record_equal",0,0,0,0,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",14,2,50,
