"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration","binary","Null","record_equal","record_equal",2,70,11,70,11,0,0,70,-48.6023142030843,-0.694318774329776,0.5,0.482843137254902,0.5,0.250584335007435,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","record_equal","species_equal",2,70,11,70,11,0,0,70,-48.5493044501359,-0.693561492144799,0.5,0.480582191780822,0.5,0.250206289149856,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","species_equal","record_equal",2,70,11,70,11,0,0,70,-48.6129051071479,-0.694470072959255,0.5,0.482843137254902,0.5,0.25065986435439,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","Null","species_equal","species_equal",2,70,11,70,11,0,0,70,-48.5634675441965,-0.69376382205995,0.5,0.480582191780822,0.5,0.250307377028704,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","record_equal","record_equal",2,70,11,70,11,0,0,70,-48.7287058467061,-0.696124369238659,0.456270713413571,0.457516339869281,0.456270713413571,0.251487005687072,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","record_equal","species_equal",2,70,11,70,11,0,0,70,-48.767789937888,-0.696682713398401,0.458905419529072,0.460901269629135,0.458905419529072,0.251766051317243,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","species_equal","record_equal",2,70,11,70,11,0,0,70,-48.6613624759745,-0.695162321085349,0.456270713413571,0.457516339869281,0.456270713413571,0.251007204868409,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M1","species_equal","species_equal",2,70,11,70,11,0,0,70,-48.6745786028405,-0.695351122897721,0.458905419529072,0.459112094888072,0.458905419529072,0.251101614899428,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M2","record_equal","record_equal",2,70,11,70,11,0,0,70,-48.4977632906508,-0.69282518986644,0.534658991801849,0.501633986928105,0.534658991801849,0.24983894778094,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M2","record_equal","species_equal",2,70,11,70,11,0,0,70,-48.4583660795341,-0.692262372564773,0.5309346666528,0.496053291012362,0.5309346666528,0.24955760412466,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
