"row_id","Species","weight","Weighting","WeightAlgorithm","Normalization","Design","Route","Model","TrainWeighting","Fold","FitKey","Stage"
1,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
2,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
3,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
4,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
5,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
6,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
7,"synthetic_07",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
8,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
9,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
10,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
11,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
12,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
13,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
14,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
15,"synthetic_08",1,"record_equal","N_train/(S_train*R_species); total_weight=N_train","total_weight_equals_record_count","integration","binary","Null","record_equal",1,"e0e37823be5a93f0208dd5dfc4ef8b4643feb365f9405c81245a812cb29eb161","cv"
