"id","a","b","lo","hi","Group"
"beta_1_100_upper","1","100","0.40000000000000002","0.5","inherited_266"
"beta_200_1_lower","200","1","0.59999999999999998","0.69999999999999996","inherited_266"
"underflow_upper","1","2000","0.40000000000000002","0.5","inherited_266"
"underflow_lower","2000","1","0.59999999999999998","0.69999999999999996","inherited_266"
"near_zero","0.29999999999999999","12","0","1e-08","inherited_266"
"near_one","12","0.29999999999999999","0.99999998999999995","1","inherited_266"
"narrow_middle","2.5","7.5","0.45000000000000001","0.45000000000099999","inherited_266"
"narrow_tail","2.5","120","0.84999999999999998","0.85000000009999999","inherited_266"
"u_shaped","0.20000000000000001","0.40000000000000002","0.001","0.98999999999999999","inherited_266"
"wide_center","2","3","0.01","0.94999999999999996","inherited_266"
"skew_left","1.1000000000000001","100","0.40000000000000002","0.5","inherited_266"
"skew_right","100","1.1000000000000001","0.01","0.050000000000000003","inherited_266"
"concentrated_center","800","1000","0.42999999999999999","0.46000000000000002","inherited_266"
"full_support","2","3","0","1","inherited_266"
"left_boundary","0.20000000000000001","10","0","0.29999999999999999","inherited_266"
"right_boundary","10","0.20000000000000001","0.69999999999999996","1","inherited_266"
"cf_switch_left","5","7","0.42857142757142902","0.42957142857142899","inherited_266"
"cf_switch_right","5","7","0.42857142957142902","0.42957143057142899","inherited_266"
"grid_1","0.050000000000000003","0.050000000000000003","0.001","0.01","inherited_266"
"grid_2","0.20000000000000001","0.050000000000000003","0.001","0.01","inherited_266"
"grid_3","1","0.050000000000000003","0.001","0.01","inherited_266"
"grid_4","5","0.050000000000000003","0.001","0.01","inherited_266"
"grid_5","50","0.050000000000000003","0.001","0.01","inherited_266"
"grid_6","200","0.050000000000000003","0.001","0.01","inherited_266"
"grid_7","1000","0.050000000000000003","0.001","0.01","inherited_266"
"grid_8","0.050000000000000003","0.20000000000000001","0.001","0.01","inherited_266"
"grid_9","0.20000000000000001","0.20000000000000001","0.001","0.01","inherited_266"
"grid_10","1","0.20000000000000001","0.001","0.01","inherited_266"
"grid_11","5","0.20000000000000001","0.001","0.01","inherited_266"
"grid_12","50","0.20000000000000001","0.001","0.01","inherited_266"
"grid_13","200","0.20000000000000001","0.001","0.01","inherited_266"
"grid_14","1000","0.20000000000000001","0.001","0.01","inherited_266"
"grid_15","0.050000000000000003","1","0.001","0.01","inherited_266"
"grid_16","0.20000000000000001","1","0.001","0.01","inherited_266"
"grid_17","1","1","0.001","0.01","inherited_266"
"grid_18","5","1","0.001","0.01","inherited_266"
