id,a,b,lo,hi,Group,ReferenceLogP,ReferenceMethod,PrecisionDigits
beta_1_100_upper,1,100,0.40000000000000002,0.5,inherited_266,-51.08256238867374556660740665304161479922929626487281615328430329023986642678206898835569493072580255,closed_a1,100
beta_200_1_lower,200,1,0.59999999999999998,0.69999999999999996,inherited_266,-71.33498878774652926909151660912822099716639596995349901468394047815357451661233754885616980714886816,closed_b1,100
underflow_upper,1,2000,0.40000000000000002,0.5,inherited_266,-1021.651247531981440425896500951094600881848807647308891410137082342889885841843011760354033572790429,closed_a1,100
underflow_lower,2000,1,0.59999999999999998,0.69999999999999996,inherited_266,-713.349887877464884707908808214549029143618141798995901564793224868445791219970442622033960759446003,closed_b1,100
near_zero,0.29999999999999999,12,0,1e-08,inherited_266,-4.681353877844107875964577843693469065424239579892052766573563763452734931449444832258253301296152342,high_precision_lower_interval,100
near_one,12,0.29999999999999999,0.99999998999999995,1,inherited_266,-4.681353876336680230981329397969647846170208130231407617503679896003583300218787504764378734407691586,high_precision_complement_interval,100
narrow_middle,2.5,7.5,0.45000000000000001,0.45000000000099999,inherited_266,-27.73196491428597383652571319981893415645815180240582877764423193555147599738897380069941157025522988,high_precision_complement_interval,100
narrow_tail,2.5,120,0.84999999999999998,0.85000000009999999,inherited_266,-237.327322129468274390786671590846408939082947734260971745813602478391702752073806099528516734013444,high_precision_complement_interval,100
u_shaped,0.20000000000000001,0.40000000000000002,0.001,0.98999999999999999,inherited_266,-0.2767605422917144094431227804729557688595325029704907931127956121053515409344919734113707982931376342,high_precision_complement_interval,100
wide_center,2,3,0.01,0.94999999999999996,inherited_266,-0.001073856377425683957161249877911106463908033449933859537702217215875313035028467064421519328602882157,high_precision_complement_interval,100
skew_left,1.1000000000000001,100,0.40000000000000002,0.5,inherited_266,-50.66178816033895596887689241886631900740939564857372292756116189354056117902713972603091902389029431,high_precision_complement_interval,100
skew_right,100,1.1000000000000001,0.01,0.050000000000000003,inherited_266,-299.0673662390222010754600511424432727286166521944477547272976366402621159564951134393369787142214039,high_precision_lower_interval,100
concentrated_center,800,1000,0.42999999999999999,0.46000000000000002,inherited_266,-0.2241503414111996338245587551979701045792226372880075343525074104550080134159750621797069867454662055,high_precision_complement_interval,100
full_support,2,3,0,1,inherited_266,0.0,full_support,100
left_boundary,0.20000000000000001,10,0,0.29999999999999999,inherited_266,-0.002209777690535130229752858260275461354002912302734519369727468000125282186850741763534280231324856016,high_precision_complement_interval,100
right_boundary,10,0.20000000000000001,0.69999999999999996,1,inherited_266,-0.002209777690535128215450540646606727320838973869484099609745392780680826282243958655637591496768776895,high_precision_lower_interval,100
cf_switch_left,5,7,0.42857142757142902,0.42957142857142899,inherited_266,-5.910227609272738122867844942351104116839909300113147258763878764745970694819809079998428426085717245,high_precision_complement_interval,100
cf_switch_right,5,7,0.42857142957142902,0.42957143057142899,inherited_266,-5.910227611646203983021317046255018728794917832142022644126818791861319606150745993659901870816760258,high_precision_complement_interval,100
grid_1,0.050000000000000003,0.050000000000000003,0.001,0.01,inherited_266,-3.134481620986414464153488842195273152654958697160999327468294991760295830530388168196844421886894958,high_precision_lower_interval,100
grid_2,0.20000000000000001,0.050000000000000003,0.001,0.01,inherited_266,-3.509325312549769208244231516308863031500745241290429651551995625834173885622887013564838711980027937,high_precision_lower_interval,100
grid_3,1,0.050000000000000003,0.001,0.01,inherited_266,-7.701017231957636329431416145832246823782855332677617756539627515772654190767778492726835664823377552,closed_a1,100
grid_4,5,0.050000000000000003,0.001,0.01,inherited_266,-27.52064474300027755631940363171520850484704283882043608759381612952306094954096559595609909795873318,high_precision_lower_interval,100
grid_5,50,0.050000000000000003,0.001,0.01,inherited_266,-236.9349270625125482793649433727443798877405368161523334547703255024045518156805221824659313392055435,high_precision_lower_interval,100
grid_6,200,0.050000000000000003,0.001,0.01,inherited_266,-929.0269366544459501982750317602462493185388349419450233830160265859395913295027985592489764334599446,high_precision_lower_interval,100
grid_7,1000,0.050000000000000003,0.001,0.01,inherited_266,-4614.691918224908323857417294945959898991462384638354089812934561154678398152349427665192776320530777,high_precision_lower_interval,100
grid_8,0.050000000000000003,0.20000000000000001,0.001,0.01,inherited_266,-2.654957163377615168164046345975997199327254553455301278299217047230974101198872784167103315197135275,high_precision_lower_interval,100
grid_9,0.20000000000000001,0.20000000000000001,0.001,0.01,inherited_266,-2.556492043177172242752561160182155296017853300735633673697329690967185073335435501383163348440956626,high_precision_lower_interval,100
grid_10,1,0.20000000000000001,0.001,0.01,inherited_266,-6.31555155558377620566193972302041703342795908133912060670137119195607174553647886243541338708415494,closed_a1,100
grid_11,5,0.20000000000000001,0.001,0.01,inherited_266,-25.84708022269381540960074960950801379098057534107476453308653281108057622504296575998914601779663032,high_precision_lower_interval,100
grid_12,50,0.20000000000000001,0.001,0.01,inherited_266,-234.9059128446318025775170316056581295446928555320534488751472876533514977807078386259993918839747532,high_precision_lower_interval,100
grid_13,200,0.20000000000000001,0.001,0.01,inherited_266,-926.7891550445524425473686085835565711099056515878989945359626419151375131150534090721813688259038091,high_precision_lower_interval,100
grid_14,1000,0.20000000000000001,0.001,0.01,inherited_266,-4612.212501845644354656342693457231960245878957612307552712231853998747186267895200401663703648599875,high_precision_lower_interval,100
grid_15,0.050000000000000003,1,0.001,0.01,inherited_266,-2.44897074486715699439659255932384674850530759260680358145779427289024782882246197518196584618485889,closed_b1,100
grid_16,0.20000000000000001,1,0.001,0.01,inherited_266,-1.917877081205465100078488455567171193246821174779818700145237809096391344146186099501930701959160759,closed_b1,100
grid_17,1,1,0.001,0.01,inherited_266,-4.710530701645917648446802178486356297232348317101969627192814722711997614668094023450949785003458606,closed_a1,100
grid_18,5,1,0.001,0.01,inherited_266,-23.02586092999045706943233934156871749605972364927601845569315097720461930183405874629728719147598104,closed_b1,100
grid_19,50,1,0.001,0.01,inherited_266,-230.2585092994045673609650598823521749463113972059347877314437744509706795713979738481092044770662243,closed_b1,100
grid_20,200,1,0.001,0.01,inherited_266,-921.034037197618269443860239529408699785245588823739110925775097803882718285591895392436817908264897,closed_b1,100
grid_21,1000,1,0.001,0.01,inherited_266,-4605.170185988091347219301197647043498926227944118695554628875489019413591427959476962184089541324485,closed_b1,100
grid_22,0.050000000000000003,5,0.001,0.01,inherited_266,-2.362484031956293905232684891374977882909892182324800397447470181980311321449143707618141741539189454,high_precision_lower_interval,100
grid_23,0.20000000000000001,5,0.001,0.01,inherited_266,-1.543837772815931607786132489373056307033732684781818226935760030973121191834585772876963650503116127,high_precision_lower_interval,100
grid_24,1,5,0.001,0.01,inherited_266,-3.123112563516300922172532710885462288836380105367933417356588353499032189695567254014095610972693439,closed_a1,100
grid_25,5,5,0.001,0.01,inherited_266,-18.22304020838072798734445715667676170077645434607058180051212740624059666267042848691019623241452503,high_precision_lower_interval,100
grid_26,50,5,0.001,0.01,inherited_266,-217.6336267778250381585701146928844331177155912320420452943555542100486372560250162095700252310714334,high_precision_lower_interval,100
grid_27,200,5,0.001,0.01,inherited_266,-903.0091927679561576814233499007992711148426627366921704311939348260543113207265580537973463449441788,high_precision_lower_interval,100
grid_28,1000,5,0.001,0.01,inherited_266,-4580.747394648596846208064182421966726219757228597599337096420072051320836939646093996951946035306888,high_precision_lower_interval,100
grid_29,0.050000000000000003,50,0.001,0.01,inherited_266,-2.415552585497444035477035770307515975104223186589301262228474725922590517582764158580848406452595194,high_precision_complement_interval,100
grid_30,0.20000000000000001,50,0.001,0.01,inherited_266,-1.251870718367548820523232858206085111779118631334413978918595095750424202956411703053578246104937346,high_precision_complement_interval,100
