"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"beta_1_100_upper","inherited_266",1,100,0.4,0.5,-51.0825623886737,-51.0825623886737,-51.0825623886737,-51.0825623886737,0,0,0,0,5.10825623886737e-09,TRUE,TRUE,TRUE
"beta_200_1_lower","inherited_266",200,1,0.6,0.7,-71.3349887877465,-71.3349887877465,-71.3349887877465,-71.3349887877465,0,0,0,0,7.13349887877465e-09,TRUE,TRUE,TRUE
"underflow_upper","inherited_266",1,2000,0.4,0.5,-1021.65124753198,-1021.65124753198,-1021.65124753198,-1021.65124753198,0,0,0,0,1.02165124753198e-07,TRUE,TRUE,TRUE
"underflow_lower","inherited_266",2000,1,0.6,0.7,-713.349887877465,-713.349887877465,-713.349887877465,-713.349887877465,0,0,0,0,7.13349887877465e-08,TRUE,TRUE,TRUE
"near_zero","inherited_266",0.3,12,0,1e-08,-4.68135387784411,-4.68135387784411,-4.68135387784411,-4.68135387784411,8.88178419700125e-16,0,0,8.88178419700125e-16,4.68135387784411e-10,TRUE,TRUE,TRUE
"near_one","inherited_266",12,0.3,0.99999999,1,-4.68135387633668,-4.68135387633668,-4.68135387633668,-4.68135387633668,8.88178419700125e-16,0,0,8.88178419700125e-16,4.68135387633668e-10,TRUE,TRUE,TRUE
"narrow_middle","inherited_266",2.5,7.5,0.45,0.450000000001,-27.731964914286,-27.731964914286,-27.731964914286,-27.731964914286,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,2.7731964914286e-09,TRUE,TRUE,TRUE
"narrow_tail","inherited_266",2.5,120,0.85,0.8500000001,-237.327322129468,-237.327322129468,-237.327322129468,-237.327322129468,2.8421709430404e-14,0,0,2.8421709430404e-14,2.37327322129468e-08,TRUE,TRUE,TRUE
"u_shaped","inherited_266",0.2,0.4,0.001,0.99,-0.276760542291714,-0.276760542291714,-0.276760542291714,-0.276760542291714,0,0,0,0,1e-10,TRUE,TRUE,TRUE
"wide_center","inherited_266",2,3,0.01,0.95,-0.00107385637742568,-0.00107385637742568,-0.00107385637742572,-0.00107385637742572,0,3.92481186439753e-17,3.92481186439753e-17,3.92481186439753e-17,1e-10,TRUE,TRUE,TRUE
"skew_left","inherited_266",1.1,100,0.4,0.5,-50.661788160339,-50.661788160339,-50.661788160339,-50.661788160339,0,0,0,0,5.0661788160339e-09,TRUE,TRUE,TRUE
"skew_right","inherited_266",100,1.1,0.01,0.05,-299.067366239022,-299.067366239022,-299.067366239022,-299.067366239022,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,0,2.99067366239022e-08,TRUE,TRUE,TRUE
"concentrated_center","inherited_266",800,1000,0.43,0.46,-0.2241503414112,-0.224150341411172,-0.2241503414112,-0.2241503414112,2.80608869474008e-14,8.04911692853238e-16,8.04911692853238e-16,2.88657986402541e-14,1e-10,TRUE,TRUE,TRUE
"full_support","inherited_266",2,3,0,1,0,0,0,0,0,0,0,0,1e-10,TRUE,TRUE,TRUE
"left_boundary","inherited_266",0.2,10,0,0.3,-0.00220977769053513,-0.00220977769053513,-0.00220977769053513,-0.00220977769053513,4.33680868994202e-18,4.33680868994202e-18,4.33680868994202e-18,0,1e-10,TRUE,TRUE,TRUE
"right_boundary","inherited_266",10,0.2,0.7,1,-0.00220977769053513,-0.00220977769053513,-0.00220977769053513,-0.00220977769053513,2.16840434497101e-18,2.16840434497101e-18,2.16840434497101e-18,0,1e-10,TRUE,TRUE,TRUE
"cf_switch_left","inherited_266",5,7,0.428571427571429,0.429571428571429,-5.91022760927274,-5.91022760927271,-5.91022760927278,-5.91022760927278,2.8421709430404e-14,4.44089209850063e-14,4.44089209850063e-14,7.28306304154103e-14,5.91022760927274e-10,TRUE,TRUE,TRUE
"cf_switch_right","inherited_266",5,7,0.428571429571429,0.429571430571429,-5.9102276116462,-5.91022761164585,-5.91022761164613,-5.91022761164613,3.5438318946035e-13,7.63833440942108e-14,7.63833440942108e-14,2.77999845366139e-13,5.9102276116462e-10,TRUE,TRUE,TRUE
"grid_1","inherited_266",0.05,0.05,0.001,0.01,-3.13448162098641,-3.13448162098642,-3.13448162098642,-3.13448162098642,2.22044604925031e-15,1.33226762955019e-15,1.33226762955019e-15,8.88178419700125e-16,3.13448162098641e-10,TRUE,TRUE,TRUE
"grid_2","inherited_266",0.2,0.05,0.001,0.01,-3.50932531254977,-3.50932531254977,-3.50932531254977,-3.50932531254977,2.66453525910038e-15,0,0,2.66453525910038e-15,3.50932531254977e-10,TRUE,TRUE,TRUE
"grid_3","inherited_266",1,0.05,0.001,0.01,-7.70101723195764,-7.70101723195764,-7.70101723195764,-7.70101723195764,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,7.70101723195764e-10,TRUE,TRUE,TRUE
"grid_4","inherited_266",5,0.05,0.001,0.01,-27.5206447430003,-27.5206447430003,-27.5206447430003,-27.5206447430003,3.5527136788005e-15,7.105427357601e-15,7.105427357601e-15,3.5527136788005e-15,2.75206447430003e-09,TRUE,TRUE,TRUE
"grid_5","inherited_266",50,0.05,0.001,0.01,-236.934927062513,-236.934927062513,-236.934927062513,-236.934927062513,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.36934927062513e-08,TRUE,TRUE,TRUE
"grid_6","inherited_266",200,0.05,0.001,0.01,-929.026936654446,-929.026936654446,-929.026936654446,-929.026936654446,0,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,9.29026936654446e-08,TRUE,TRUE,TRUE
"grid_7","inherited_266",1000,0.05,0.001,0.01,-4614.69191822491,-4614.69191822491,-4614.69191822491,-4614.69191822491,0,0,0,0,4.61469191822491e-07,TRUE,TRUE,TRUE
"grid_8","inherited_266",0.05,0.2,0.001,0.01,-2.65495716337762,-2.65495716337762,-2.65495716337762,-2.65495716337762,8.88178419700125e-15,8.88178419700125e-16,8.88178419700125e-16,7.99360577730113e-15,2.65495716337762e-10,TRUE,TRUE,TRUE
"grid_9","inherited_266",0.2,0.2,0.001,0.01,-2.55649204317717,-2.55649204317717,-2.55649204317717,-2.55649204317717,2.22044604925031e-15,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,2.55649204317717e-10,TRUE,TRUE,TRUE
"grid_10","inherited_266",1,0.2,0.001,0.01,-6.31555155558378,-6.31555155558378,-6.31555155558378,-6.31555155558378,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,6.31555155558378e-10,TRUE,TRUE,TRUE
"grid_11","inherited_266",5,0.2,0.001,0.01,-25.8470802226938,-25.8470802226938,-25.8470802226938,-25.8470802226938,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,2.58470802226938e-09,TRUE,TRUE,TRUE
"grid_12","inherited_266",50,0.2,0.001,0.01,-234.905912844632,-234.905912844632,-234.905912844632,-234.905912844632,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,0,2.34905912844632e-08,TRUE,TRUE,TRUE
"grid_13","inherited_266",200,0.2,0.001,0.01,-926.789155044552,-926.789155044552,-926.789155044552,-926.789155044552,1.13686837721616e-13,0,0,1.13686837721616e-13,9.26789155044553e-08,TRUE,TRUE,TRUE
"grid_14","inherited_266",1000,0.2,0.001,0.01,-4612.21250184564,-4612.21250184564,-4612.21250184564,-4612.21250184564,0,0,0,0,4.61221250184564e-07,TRUE,TRUE,TRUE
"grid_15","inherited_266",0.05,1,0.001,0.01,-2.44897074486716,-2.44897074486716,-2.44897074486716,-2.44897074486716,4.88498130835069e-15,0,0,4.88498130835069e-15,2.44897074486716e-10,TRUE,TRUE,TRUE
"grid_16","inherited_266",0.2,1,0.001,0.01,-1.91787708120547,-1.91787708120546,-1.91787708120546,-1.91787708120546,6.66133814775094e-16,2.22044604925031e-16,2.22044604925031e-16,4.44089209850063e-16,1.91787708120547e-10,TRUE,TRUE,TRUE
"grid_17","inherited_266",1,1,0.001,0.01,-4.71053070164592,-4.71053070164592,-4.71053070164592,-4.71053070164592,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,4.71053070164592e-10,TRUE,TRUE,TRUE
"grid_18","inherited_266",5,1,0.001,0.01,-23.0258609299905,-23.0258609299905,-23.0258609299905,-23.0258609299905,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,2.30258609299905e-09,TRUE,TRUE,TRUE
"grid_19","inherited_266",50,1,0.001,0.01,-230.258509299405,-230.258509299405,-230.258509299405,-230.258509299405,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,0,2.30258509299405e-08,TRUE,TRUE,TRUE
"grid_20","inherited_266",200,1,0.001,0.01,-921.034037197618,-921.034037197618,-921.034037197618,-921.034037197618,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,9.21034037197618e-08,TRUE,TRUE,TRUE
"grid_21","inherited_266",1000,1,0.001,0.01,-4605.17018598809,-4605.17018598809,-4605.17018598809,-4605.17018598809,0,0,0,0,4.60517018598809e-07,TRUE,TRUE,TRUE
"grid_22","inherited_266",0.05,5,0.001,0.01,-2.36248403195629,-2.36248403195629,-2.36248403195629,-2.36248403195629,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,2.36248403195629e-10,TRUE,TRUE,TRUE
"grid_23","inherited_266",0.2,5,0.001,0.01,-1.54383777281593,-1.54383777281593,-1.54383777281593,-1.54383777281593,2.44249065417534e-15,2.22044604925031e-16,2.22044604925031e-16,2.66453525910038e-15,1.54383777281593e-10,TRUE,TRUE,TRUE
"grid_24","inherited_266",1,5,0.001,0.01,-3.1231125635163,-3.1231125635163,-3.1231125635163,-3.1231125635163,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,3.1231125635163e-10,TRUE,TRUE,TRUE
"grid_25","inherited_266",5,5,0.001,0.01,-18.2230402083807,-18.2230402083807,-18.2230402083807,-18.2230402083807,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0,1.82230402083807e-09,TRUE,TRUE,TRUE
"grid_26","inherited_266",50,5,0.001,0.01,-217.633626777825,-217.633626777825,-217.633626777825,-217.633626777825,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,2.17633626777825e-08,TRUE,TRUE,TRUE
"grid_27","inherited_266",200,5,0.001,0.01,-903.009192767956,-903.009192767956,-903.009192767956,-903.009192767956,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,9.03009192767956e-08,TRUE,TRUE,TRUE
