"Species","Site3","Site20","Site117","Site151","Site196","Site315"
"synthetic_01","C","K","K","C","C","K"
"synthetic_02","C","K","K","C","C","K"
"synthetic_03","C","K","K","C","C","K"
"synthetic_04","C","K","K","C","C","K"
"synthetic_05","R","K","S","C","A","K"
"synthetic_06","R","K","S","C","A","K"
"synthetic_07","R","V","S","C","A","T"
"synthetic_08","R","V","S","C","A","T"
"synthetic_09","MISSING","V","S","C","G","T"
"synthetic_10","Q","V","S","C","G","T"
"synthetic_11","Q","V","MISSING","C","G","T"
"synthetic_12","Q","V","G","C","G","T"
