"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration",1,"binary","Null","record_equal","record_equal",28,6,28,6,0,0,28,-19.3973253574892,-0.692761619910327,0.5,0.24980722166242,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","Null","record_equal","species_equal",28,6,28,6,0,0,28,-19.3945783650796,-0.692663513038558,0.5,0.249758168742758,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","Null","record_equal","record_equal",42,5,42,5,0,0,42,-29.2049888455951,-0.695356877276075,0.5,0.251102410570779,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","Null","record_equal","species_equal",42,5,42,5,0,0,42,-29.1748408170361,-0.694639067072288,0.5,0.250744033638372,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","Null","species_equal","record_equal",28,6,28,6,0,0,28,-19.4042055445007,-0.693007340875025,0.5,0.249930080248758,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","Null","species_equal","species_equal",28,6,28,6,0,0,28,-19.4032349305175,-0.692972676089912,0.5,0.249912747878974,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","Null","species_equal","record_equal",42,5,42,5,0,0,42,-29.2086995626472,-0.695445227682076,0.5,0.251146387091478,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","Null","species_equal","species_equal",42,5,42,5,0,0,42,-29.1779542834078,-0.694713197223995,0.5,0.25078093200838,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M1","record_equal","record_equal",28,6,28,6,0,0,28,-19.5247188777401,-0.697311388490716,0.469230769230769,0.25208040492606,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M1","record_equal","species_equal",28,6,28,6,0,0,28,-19.5507485328321,-0.698241019029719,0.470134395221503,0.25254483772097,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M1","record_equal","record_equal",42,5,42,5,0,0,42,-29.203986968966,-0.69533302307062,0.443310657596372,0.251091406194414,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M1","record_equal","species_equal",42,5,42,5,0,0,42,-29.1821353589144,-0.694812746640818,0.447676443836641,0.250831507632771,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M1","species_equal","record_equal",28,6,28,6,0,0,28,-19.4748424449083,-0.695530087318155,0.469230769230769,0.251191089874616,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M1","species_equal","species_equal",28,6,28,6,0,0,28,-19.4866094524507,-0.695950337587524,0.470134395221503,0.251401182752467,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M1","species_equal","record_equal",42,5,42,5,0,0,42,-29.1865200310661,-0.694917143596813,0.443310657596372,0.250884614864271,,,,0,,,0,"weighted_record_or_species"
"integration",2,"binary","M1","species_equal","species_equal",42,5,42,5,0,0,42,-29.1745467413382,-0.694632065269958,0.447676443836641,0.250742133475782,,,,0,,,0,"weighted_record_or_species"
"integration",1,"binary","M2","record_equal","record_equal",28,6,28,6,0,0,28,-19.3723766211585,-0.691870593612805,0.530769230769231,0.249361790072701,,,,0,,,0,"weighted_record_or_species"
