"Design","Route","Model","TrainWeighting","EvalWeighting","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointRecords","PointSpeciesUsed","PISpeciesUsed","Bias","BiasDefinition","PointSet"
"integration","joint_bb","Null","record_equal","record_equal",114,12,70,11,11,0.00568604787204305,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","Null","record_equal","species_equal",114,12,70,11,11,0.0144987089503149,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","Null","species_equal","record_equal",114,12,70,11,11,0.00246389235151026,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","Null","species_equal","species_equal",114,12,70,11,11,0.011722760406752,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M1","record_equal","record_equal",114,12,70,11,11,0.00573006457199537,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M1","record_equal","species_equal",114,12,70,11,11,0.0145990808052646,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M1","species_equal","record_equal",114,12,70,11,11,0.00194944285400255,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M1","species_equal","species_equal",114,12,70,11,11,0.0112446743276455,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M2","record_equal","record_equal",114,12,70,11,11,-0.00580773242800508,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M2","record_equal","species_equal",114,12,70,11,11,0.00135716067413574,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M2","species_equal","record_equal",114,12,70,11,11,0.000596680928280064,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M2","species_equal","species_equal",114,12,70,11,11,0.00933897083266993,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M3","record_equal","record_equal",114,12,70,11,11,0.00290111206904862,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M3","record_equal","species_equal",114,12,70,11,11,0.00929242466663465,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M3","species_equal","record_equal",114,12,70,11,11,-0.00237161540729573,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
"integration","joint_bb","M3","species_equal","species_equal",114,12,70,11,11,0.00525148394966346,"weighted_mean(predicted_minus_observed)","count_and_exact; interval_not_imputed"
