"Design","Fold","Route","Model","TrainWeighting","RecordID","Species","Type","ObservedPoint","PredictedPoint","EvalWeighting","EvaluationWeight","SignedError","FitKey","RunPurpose"
"integration",1,"joint_bb","Null","record_equal","SYN_1_1","synthetic_01","count",0.625,0.512580538442535,"record_equal",1,-0.112419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_1_2","synthetic_01","exact",0.35,0.512580538442535,"record_equal",1,0.162580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_1_4","synthetic_01","count",0.181818181818182,0.512580538442535,"record_equal",1,0.330762356624353,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_2_1","synthetic_02","count",0.333333333333333,0.512580538442535,"record_equal",1,0.179247205109202,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_2_2","synthetic_02","exact",0.85,0.512580538442535,"record_equal",1,-0.337419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_2_4","synthetic_02","count",0.666666666666667,0.512580538442535,"record_equal",1,-0.154086128224132,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_2_5","synthetic_02","exact",0.35,0.512580538442535,"record_equal",1,0.162580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_3_1","synthetic_03","count",0.8,0.512580538442535,"record_equal",1,-0.287419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_3_2","synthetic_03","exact",0.15,0.512580538442535,"record_equal",1,0.362580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_3_4","synthetic_03","count",0.333333333333333,0.512580538442535,"record_equal",1,0.179247205109202,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_3_5","synthetic_03","exact",0.85,0.512580538442535,"record_equal",1,-0.337419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_4_1","synthetic_04","count",0.181818181818182,0.512580538442535,"record_equal",1,0.330762356624353,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_4_2","synthetic_04","exact",0.65,0.512580538442535,"record_equal",1,-0.137419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_4_4","synthetic_04","count",0.857142857142857,0.512580538442535,"record_equal",1,-0.344562318700322,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_4_5","synthetic_04","exact",0.15,0.512580538442535,"record_equal",1,0.362580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_4_7","synthetic_04","count",0.4,0.512580538442535,"record_equal",1,0.112580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_1","synthetic_05","count",0.666666666666667,0.512580538442535,"record_equal",1,-0.154086128224132,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_2","synthetic_05","exact",0.35,0.512580538442535,"record_equal",1,0.162580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_4","synthetic_05","count",0.125,0.512580538442535,"record_equal",1,0.387580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_5","synthetic_05","exact",0.65,0.512580538442535,"record_equal",1,-0.137419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_7","synthetic_05","count",0.818181818181818,0.512580538442535,"record_equal",1,-0.305601279739283,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_5_8","synthetic_05","exact",0.15,0.512580538442535,"record_equal",1,0.362580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_1","synthetic_06","count",0.333333333333333,0.512580538442535,"record_equal",1,0.179247205109202,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_2","synthetic_06","exact",0.85,0.512580538442535,"record_equal",1,-0.337419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_4","synthetic_06","count",0.666666666666667,0.512580538442535,"record_equal",1,-0.154086128224132,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_5","synthetic_06","exact",0.35,0.512580538442535,"record_equal",1,0.162580538442535,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_7","synthetic_06","count",0.166666666666667,0.512580538442535,"record_equal",1,0.345913871775868,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",1,"joint_bb","Null","record_equal","SYN_6_8","synthetic_06","exact",0.65,0.512580538442535,"record_equal",1,-0.137419461557465,"e4c65b240dedb9eb39e840fabc91f682053074559c5a48c46902532e4e38daa1","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_1","synthetic_07","count",0.857142857142857,0.499589171110213,"record_equal",1,-0.357553686032644,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_2","synthetic_07","exact",0.15,0.499589171110213,"record_equal",1,0.349589171110213,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_4","synthetic_07","count",0.4,0.499589171110213,"record_equal",1,0.099589171110213,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_5","synthetic_07","exact",0.85,0.499589171110213,"record_equal",1,-0.350410828889787,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_7","synthetic_07","count",0.666666666666667,0.499589171110213,"record_equal",1,-0.167077495556454,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_8","synthetic_07","exact",0.35,0.499589171110213,"record_equal",1,0.149589171110213,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_7_10","synthetic_07","count",0.111111111111111,0.499589171110213,"record_equal",1,0.388478059999102,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_8_1","synthetic_08","count",0.125,0.499589171110213,"record_equal",1,0.374589171110213,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_8_2","synthetic_08","exact",0.65,0.499589171110213,"record_equal",1,-0.150410828889787,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
"integration",2,"joint_bb","Null","record_equal","SYN_8_4","synthetic_08","count",0.818181818181818,0.499589171110213,"record_equal",1,-0.318592647071605,"39dd0cc3a6b9d732d6851529ea6d93d510563b96056436f4f2493e971413d8b7","INTEGRATION_TEST_ONLY"
