"Species","Route","Model","TrainWeighting","Point","PosteriorMedian","CrI_lower","CrI_upper","PI_lower","PI_upper","HasResponseData","AnyMissingPredictorSite","UnseenEncodedCategory","AnyMissingInputSite","UnseenRawResidue","CombinationSeenInTraining","FixedEffectEstimable","Site151OutsideTrainingDomain","ApplicabilityStatus","WarningCodes","PredictionTarget","TestOnly"
"synthetic_01","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_02","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_03","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_04","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_05","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_06","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_07","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_08","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_09","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_10","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
