"Check","Design","Fold","Route","Model","TrainWeighting","RunPurpose","RecordType","RowsChecked","ColumnsChecked","PosteriorDraws","MaximumAbsoluteDifference","AbsoluteAndRelativeTolerance","RecomputeSource","Coverage","Status","Reason","SourceVersion","AuditVersion"
"posterior_to_OOF","integration",1,"binary","Null","record_equal","INTEGRATION_TEST_ONLY","count",15,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","Null","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","Null","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","Null","record_equal","INTEGRATION_TEST_ONLY","count",22,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","Null","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","Null","species_equal","INTEGRATION_TEST_ONLY","count",15,33,600,3.33066907387547e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"binary","Null","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,600,3.33066907387547e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"binary","Null","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,600,3.33066907387547e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","Null","species_equal","INTEGRATION_TEST_ONLY","count",22,33,600,2.22044604925031e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"binary","Null","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,600,2.22044604925031e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
