"Path","Change","Reason","OldSHA256","NewSHA256"
"Dockerfile","MODIFIED","v3.4 identity/report/environment path only","5c84fe230e43505e5522fbd2db48badcda5746c663de7e1e3389635a7ca29ae2","49d2b2878daab1bd46673984cbe11082f6bccd66191eb6ca53959daa428c73a4"
"R/applicability.R","UNCHANGED","Retained implementation; no new modeling scope","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588"
"R/audit_run.R","MODIFIED","v3.4 identity/report/environment path only","1e48af4ddd52e9c3a4492aa4b159461f173599c81263b992529a5afc3e6a5bb4","6957d805914425e4e6b57874a0b3872eb52b0bdaa3896a60014b3b2ac8717e24"
"R/bootstrap.R","UNCHANGED","Retained implementation; no new modeling scope","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d"
"R/cache_io.R","UNCHANGED","Retained implementation; no new modeling scope","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98"
"R/comparison.R","UNCHANGED","Retained implementation; no new modeling scope","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f"
"R/config.R","MODIFIED","v3.4 identity/report/environment path only","8aa2c5731c3d03c8f28027fb81ef38f614a4bba04079c6b6fa924b8784ec8dac","d31a7952aa76d1ca74bec971f62ac03fb30e501eb85c0618ea68fc99ceada974"
"R/cross_validation.R","MODIFIED","Review4.1: complete design and per-row finite integer fold/species contracts","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805","2ce3be87473190750c76fd9d0a1cdb41bc3bba36b0e0b306b25df6e6cc6312c7"
"R/data_encoding.R","UNCHANGED","Retained implementation; no new modeling scope","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88"
"R/fitting.R","UNCHANGED","Retained implementation; no new modeling scope","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7"
"R/metrics.R","MODIFIED","Review4.2: point column presence/uniqueness and strict [0,1] range; formulas unchanged","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48","71bec12ef257b0a362ee9a76469a1866839e0de1ec7f44f4a0329a57ba58d216"
"R/plotting.R","UNCHANGED","Retained implementation; no new modeling scope","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430"
"R/ppc.R","UNCHANGED","Retained implementation; no new modeling scope","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2"
"R/prediction.R","UNCHANGED","Retained implementation; no new modeling scope","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927"
"R/prediction_audit.R","UNCHANGED","Retained implementation; no new modeling scope","afe818c01737ca11ac74ea493eeea67ab6b10e8d4d1c5618e6aa2cb93f4eb831","afe818c01737ca11ac74ea493eeea67ab6b10e8d4d1c5618e6aa2cb93f4eb831"
"R/provenance.R","UNCHANGED","Retained implementation; no new modeling scope","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f"
"R/quantitative_diagnostics.R","UNCHANGED","Retained implementation; no new modeling scope","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b"
"R/reporting.R","MODIFIED","v3.4 identity/report/environment path only","ccfa8c668a385b535f7f33121daaa645d26f94f033b45a1c48ff901d4ce4d565","bbe82ba1ab62d926363eeacecc00eb2fa0254aaf4ed928c6f0e3a92638ffaadc"
"R/weights.R","UNCHANGED","Retained implementation; no new modeling scope","7951bdb1dcf79015bd889f60ebbd97cb8c2091631f62049cadca32cbce3c6019","7951bdb1dcf79015bd889f60ebbd97cb8c2091631f62049cadca32cbce3c6019"
"R/workflow.R","UNCHANGED","Retained implementation; no new modeling scope","9afa967d9f05f3bd591f697c09ffdc5dfb66a4b8615a9c6012f9ab3ec2f2cd1c","9afa967d9f05f3bd591f697c09ffdc5dfb66a4b8615a9c6012f9ab3ec2f2cd1c"
"config/analysis.json","MODIFIED","v3.4 identity/report/environment path only","8ec92169e61669eceed0f3be52bd3db3f702ff760f4e5bcc8ea6605090882bd9","a2c7dfe05744b40f05f3272e5af5f3837474707d9f6c7c06bf2bbb9d73de6888"
"input/contract.json","MODIFIED","v3.4 identity/report/environment path only","ca6152c072b37133711b246f9d5b08dd646439c38cbdf33716557a688957c0ab","52cc6e008e66d4362f0373add71f0eab3b3aa1e8e518c6e7a135a19bc16a4bd4"
"input/observations.csv","UNCHANGED","Retained implementation; no new modeling scope","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79"
"input/sites.csv","UNCHANGED","Retained implementation; no new modeling scope","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5"
"scripts/ENVIRONMENT.md","MODIFIED","Version-specific environment and complete delivery tooling","e76956acda70c3c756b6859e6e115dcde819fac164707f09b4eb3382ee7a295b","be2eb5e4895c9e695b4517ad6c4829cce03b39684def995cd05d660bfece8d9b"
"scripts/build_complete_archive.ps1","MODIFIED","Version-specific environment and complete delivery tooling","0686bfe2c92eaad6d9deb42cca922a6b4aaa30a5b7dbae0d800f618f06fb8c86","7cf208484586086407c95f06615dfefc3ddba4aa3c6806cce50f6c15d3cb79cd"
"scripts/restore_environment.R","UNCHANGED","Retained implementation; no new modeling scope","a0ad16e90fdf783233650a8514c8ca0fb3781765014ca808661bbb37ef2abea2","a0ad16e90fdf783233650a8514c8ca0fb3781765014ca808661bbb37ef2abea2"
"scripts/test_environment.R","UNCHANGED","Retained implementation; no new modeling scope","3a239e76f88f8cb2c1ceea250f70790591a7335ab237e4eb629ea12481254102","3a239e76f88f8cb2c1ceea250f70790591a7335ab237e4eb629ea12481254102"
"scripts/upload_release_asset.ps1","MODIFIED","Version-specific environment and complete delivery tooling","49c379964bab1be57f8820bcd460ddd02699553c9e3d844ef243dfb90a52d730","c62cfeae177ca23c3f0d18c2da3363a3c7918a9c64f6cfc13834cb90a0426266"
"src/audit_run.R","UNCHANGED","Retained implementation; no new modeling scope","641ace08e8b5be25f81502e4e28bc6d9856461cc1cc231146b4bcf20c9988f4c","641ace08e8b5be25f81502e4e28bc6d9856461cc1cc231146b4bcf20c9988f4c"
"src/plot_species_predictions.R","UNCHANGED","Retained implementation; no new modeling scope","587f6b47df19e1b58e9cbe19a5aaeddb9fe84d52158bc7c2dfcf400fb2ca3813","587f6b47df19e1b58e9cbe19a5aaeddb9fe84d52158bc7c2dfcf400fb2ca3813"
"src/postprocess_results.R","UNCHANGED","Retained implementation; no new modeling scope","30ff4ef0ec6cca355c1aaf984fb52e21623f19c92961f887a6496e2c1a835b5c","30ff4ef0ec6cca355c1aaf984fb52e21623f19c92961f887a6496e2c1a835b5c"
"src/v3_pipeline.R","UNCHANGED","Retained implementation; no new modeling scope","fefde2a9652a985c537f5e8d268009ba51e51acad6c31bcb255043280c24c17c","fefde2a9652a985c537f5e8d268009ba51e51acad6c31bcb255043280c24c17c"
"src/write_reports.R","UNCHANGED","Retained implementation; no new modeling scope","e78395b5c9202f7db1cf5c2566f6d4e48af138e1496c4dd36c02aca64a0f8560","e78395b5c9202f7db1cf5c2566f6d4e48af138e1496c4dd36c02aca64a0f8560"
"stan/joint_bb.stan","UNCHANGED","Retained implementation; no new modeling scope","db491633fcadbd940c2e78280660a47cd037f46795c9dce2258f9381c4571430","db491633fcadbd940c2e78280660a47cd037f46795c9dce2258f9381c4571430"
"tests/build_audit_beta_cases.R","UNCHANGED","Retained implementation; no new modeling scope","7dc4a1d9c92ca4b9b7b50247a7e0a00d4751804fe824532524390da439056c76","7dc4a1d9c92ca4b9b7b50247a7e0a00d4751804fe824532524390da439056c76"
"tests/check_external.R","UNCHANGED","Retained implementation; no new modeling scope","72d356b09c460c241b8d1e4dbaf8c3ef815646ae0374b71a90afdb8756bc7e81","72d356b09c460c241b8d1e4dbaf8c3ef815646ae0374b71a90afdb8756bc7e81"
"tests/check_prepared.R","UNCHANGED","Retained implementation; no new modeling scope","3121f19d3359181994ecb99fe7919e76290e67a3325defb886587668b47e4e03","3121f19d3359181994ecb99fe7919e76290e67a3325defb886587668b47e4e03"
"tests/check_smoke_scores.R","UNCHANGED","Retained implementation; no new modeling scope","0fc5870aa1ee89e239ffa7c71688945cd60cf317473842222f971e81dd413817","0fc5870aa1ee89e239ffa7c71688945cd60cf317473842222f971e81dd413817"
"tests/fixtures_v32.R","UNCHANGED","Retained implementation; no new modeling scope","279ab0396668887266ccdfabae6f46a2976224f63dc5fd78de5c2aa544c8f166","279ab0396668887266ccdfabae6f46a2976224f63dc5fd78de5c2aa544c8f166"
"tests/high_precision_audit_reference.py","UNCHANGED","Retained implementation; no new modeling scope","0ebc9eae756933e4bd32094dd998a6aa58071fdaa99860f1c80a6a9bab32a173","0ebc9eae756933e4bd32094dd998a6aa58071fdaa99860f1c80a6a9bab32a173"
"tests/parse_all.R","UNCHANGED","Retained implementation; no new modeling scope","b9ca19b069d38249a3aa514cdba27910c3ff1900106cb56b81619f16304bf129","b9ca19b069d38249a3aa514cdba27910c3ff1900106cb56b81619f16304bf129"
"tests/prepare_binary_fixture.R","UNCHANGED","Retained implementation; no new modeling scope","1ae6126ca3eeda4c46aa08721814c1a6ca60b22082aa0add217085e4d04bb6d8","1ae6126ca3eeda4c46aa08721814c1a6ca60b22082aa0add217085e4d04bb6d8"
"tests/print_versions.R","UNCHANGED","Retained implementation; no new modeling scope","2cf977bba767b6a336b742864b00d0dffdb156536a5153c67706cfc1145bb179","2cf977bba767b6a336b742864b00d0dffdb156536a5153c67706cfc1145bb179"
"tests/run_audit_deterministic.R","UNCHANGED","Retained implementation; no new modeling scope","9d1afeab6eacd0946e35406e6bda995bb70d93aff988fad227aa014046bbca54","9d1afeab6eacd0946e35406e6bda995bb70d93aff988fad227aa014046bbca54"
"tests/run_tests.R","MODIFIED","Before/after, unchanged-legal-results, scope and regression tests","dfa96474dd16dd34eac900fed8437ccbe58da90dbf3d1d09522185a8450a6180","0e3bdf84b3ebba96769e5791dc4ae4b2af9508b114ab4793016c553370e01bdf"
"tests/run_v32_regressions.R","UNCHANGED","Retained implementation; no new modeling scope","6d9bf11445c524b1b8aa9ce641eacf35772033aa53c22468a63f2aa0d6c94748","6d9bf11445c524b1b8aa9ce641eacf35772033aa53c22468a63f2aa0d6c94748"
"tests/run_v33_regressions.R","UNCHANGED","Retained implementation; no new modeling scope","0862d4e68e470fad3c6490605e2e67452e3c16759644893dd5d84d0ae15c460b","0862d4e68e470fad3c6490605e2e67452e3c16759644893dd5d84d0ae15c460b"
"tests/run_v34_regressions.R","ADDED","Before/after, unchanged-legal-results, scope and regression tests","","d03613b7148a3c8c0136d73dc1601025f3b631ec18fe3eb1ec340c39be1e426d"
"tests/save_validation_snapshots.R","UNCHANGED","Retained implementation; no new modeling scope","a78257046973f7e21aee165e3e66302cb56a771647f2e2ee1fc9c18668f8fd40","a78257046973f7e21aee165e3e66302cb56a771647f2e2ee1fc9c18668f8fd40"
