"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",1,"binary","Null","record_equal","record_equal",12,3,12,3,0,0,12,-8.19776616671934,-0.683147180559945,0.5,0.243333333333333,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","Null","record_equal","species_equal",12,3,12,3,0,0,12,-8.19776616671934,-0.683147180559945,0.5,0.242222222222222,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","record_equal","record_equal",12,2,12,2,0,0,12,-8.19776616671934,-0.683147180559945,0.5,0.26,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","Null","record_equal","species_equal",12,2,12,2,0,0,12,-8.19776616671934,-0.683147180559945,0.5,0.26,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","record_equal","record_equal",16,2,16,2,0,0,16,-10.9303548889591,-0.683147180559945,0.5,0.2475,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","Null","record_equal","species_equal",16,2,16,2,0,0,16,-10.9303548889591,-0.683147180559945,0.5,0.247301587301587,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","record_equal","record_equal",16,2,16,2,0,0,16,-10.9303548889591,-0.683147180559945,0.5,0.2725,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","Null","record_equal","species_equal",16,2,16,2,0,0,16,-10.9303548889591,-0.683147180559945,0.5,0.27,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","record_equal","record_equal",14,2,14,2,0,0,14,-9.56406052783923,-0.683147180559945,0.5,0.26,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","Null","record_equal","species_equal",14,2,14,2,0,0,14,-9.56406052783923,-0.683147180559945,0.5,0.26,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","Null","species_equal","record_equal",12,3,12,3,0,0,12,-8.19776616671934,-0.683147180559945,0.5,0.243333333333333,,,,0,,,0,"weighted_record_or_species"
