"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold","binary","Null","record_equal","record_equal",5,70,11,70,11,0,0,70,-47.8203026391962,-0.683147180559945,0.5,0.5,0.5,0.257142857142857,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","record_equal","species_equal",5,70,11,70,11,0,0,70,-47.8203026391962,-0.683147180559945,0.5,0.5,0.5,0.254660894660895,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","species_equal","record_equal",5,70,11,70,11,0,0,70,-47.8203026391962,-0.683147180559945,0.5,0.5,0.5,0.257142857142857,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","Null","species_equal","species_equal",5,70,11,70,11,0,0,70,-47.8203026391962,-0.683147180559945,0.5,0.5,0.5,0.254660894660895,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","record_equal","record_equal",5,70,11,70,11,0,0,70,-47.1203026391962,-0.673147180559945,0.5,0.5,0.5,0.251071428571429,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","record_equal","species_equal",5,70,11,70,11,0,0,70,-47.1203026391962,-0.673147180559945,0.5,0.5,0.5,0.249830447330447,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","species_equal","record_equal",5,70,11,70,11,0,0,70,-47.1203026391962,-0.673147180559945,0.5,0.5,0.5,0.251071428571429,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M1","species_equal","species_equal",5,70,11,70,11,0,0,70,-47.1203026391962,-0.673147180559945,0.5,0.5,0.5,0.249830447330447,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","record_equal","record_equal",5,70,11,70,11,0,0,70,-46.4203026391962,-0.663147180559945,0.5,0.5,0.5,0.25,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","record_equal","species_equal",5,70,11,70,11,0,0,70,-46.4203026391962,-0.663147180559945,0.5,0.5,0.5,0.25,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","species_equal","record_equal",5,70,11,70,11,0,0,70,-46.4203026391962,-0.663147180559945,0.5,0.5,0.5,0.25,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M2","species_equal","species_equal",5,70,11,70,11,0,0,70,-46.4203026391962,-0.663147180559945,0.5,0.5,0.5,0.25,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M3","record_equal","record_equal",5,70,11,70,11,0,0,70,-45.7203026391962,-0.653147180559945,0.5,0.5,0.5,0.253928571428571,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M3","record_equal","species_equal",5,70,11,70,11,0,0,70,-45.7203026391962,-0.653147180559945,0.5,0.5,0.5,0.255169552669553,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"fivefold","binary","M3","species_equal","record_equal",5,70,11,70,11,0,0,70,-45.7203026391962,-0.653147180559945,0.5,0.5,0.5,0.253928571428571,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
