"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",1,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",1,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",1,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",2,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",2,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",2,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",3,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",3,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",3,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",4,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",4,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",4,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",5,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",14,2,50,
"fold","fivefold",5,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",14,2,50,
"fold","fivefold",5,"binary","record_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",14,2,50,
"fold","fivefold",1,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",1,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",1,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,3,50,
"fold","fivefold",2,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",2,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",2,"binary","species_equal","record_equal","model_vs_null","M3","Null",0.03,0,0.03,0.03,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",12,2,50,
"fold","fivefold",3,"binary","species_equal","record_equal","model_vs_null","M1","Null",0.01,0,0.01,0.01,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
"fold","fivefold",3,"binary","species_equal","record_equal","model_vs_null","M2","Null",0.02,0,0.02,0.02,,,"DEGENERATE_BOOTSTRAP","fixed_OOF_predictions_species_bootstrap_no_refitting",16,2,50,
