"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
Inf,0,0,"record_equal","fivefold","Null","record_equal",1,0.5
0.4,1,1,"record_equal","fivefold","Null","record_equal",1,0.5
Inf,0,0,"record_equal","fivefold","Null","record_equal",2,0.5
0.4,1,1,"record_equal","fivefold","Null","record_equal",2,0.5
Inf,0,0,"record_equal","fivefold","Null","record_equal",3,0.5
0.4,1,1,"record_equal","fivefold","Null","record_equal",3,0.5
Inf,0,0,"record_equal","fivefold","Null","record_equal",4,0.5
0.4,1,1,"record_equal","fivefold","Null","record_equal",4,0.5
Inf,0,0,"record_equal","fivefold","Null","record_equal",5,0.5
0.4,1,1,"record_equal","fivefold","Null","record_equal",5,0.5
Inf,0,0,"record_equal","fivefold","Null","species_equal",1,0.5
0.4,1,1,"record_equal","fivefold","Null","species_equal",1,0.5
Inf,0,0,"record_equal","fivefold","Null","species_equal",2,0.5
0.4,1,1,"record_equal","fivefold","Null","species_equal",2,0.5
Inf,0,0,"record_equal","fivefold","Null","species_equal",3,0.5
0.4,1,1,"record_equal","fivefold","Null","species_equal",3,0.5
Inf,0,0,"record_equal","fivefold","Null","species_equal",4,0.5
0.4,1,1,"record_equal","fivefold","Null","species_equal",4,0.5
Inf,0,0,"record_equal","fivefold","Null","species_equal",5,0.5
0.4,1,1,"record_equal","fivefold","Null","species_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M1","record_equal",1,0.5
0.45,1,1,"record_equal","fivefold","M1","record_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M1","record_equal",2,0.5
0.45,1,1,"record_equal","fivefold","M1","record_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M1","record_equal",3,0.5
0.45,1,1,"record_equal","fivefold","M1","record_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M1","record_equal",4,0.5
0.45,1,1,"record_equal","fivefold","M1","record_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M1","record_equal",5,0.5
0.45,1,1,"record_equal","fivefold","M1","record_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M1","species_equal",1,0.5
0.45,1,1,"record_equal","fivefold","M1","species_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M1","species_equal",2,0.5
0.45,1,1,"record_equal","fivefold","M1","species_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M1","species_equal",3,0.5
0.45,1,1,"record_equal","fivefold","M1","species_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M1","species_equal",4,0.5
0.45,1,1,"record_equal","fivefold","M1","species_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M1","species_equal",5,0.5
0.45,1,1,"record_equal","fivefold","M1","species_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M2","record_equal",1,0.5
0.5,1,1,"record_equal","fivefold","M2","record_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M2","record_equal",2,0.5
0.5,1,1,"record_equal","fivefold","M2","record_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M2","record_equal",3,0.5
