"Test","Kind","ExpectedError","Rejected","Pass","Message"
"valid_complete_designs","fold_contract",FALSE,FALSE,TRUE,"accepted"
"valid_reordered_designs","fold_contract",FALSE,FALSE,TRUE,"accepted"
"valid_shuffled_species_rows","fold_contract",FALSE,FALSE,TRUE,"accepted"
"valid_double_integer_fold_ids","fold_contract",FALSE,FALSE,TRUE,"accepted"
"valid_factor_species_labels","fold_contract",FALSE,FALSE,TRUE,"accepted"
"missing_tenfold","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"missing_fivefold","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"unnamed_designs","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"empty_designs","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"unknown_design","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"empty_design_name","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"NA_design_name","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"duplicate_design_name","fold_contract",TRUE,TRUE,TRUE,"Fold designs must match the complete configured design set"
"NA_fold_fivefold_binary","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"NaN_fold_fivefold_binary","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"NA_fold_fivefold_joint_bb","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/joint_bb"
"NaN_fold_fivefold_joint_bb","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/joint_bb"
"NA_fold_tenfold_binary","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for tenfold/binary"
"NaN_fold_tenfold_binary","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for tenfold/binary"
"NA_fold_tenfold_joint_bb","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for tenfold/joint_bb"
"NaN_fold_tenfold_joint_bb","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for tenfold/joint_bb"
"invalid_fold_-Inf","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"invalid_fold_Inf","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"invalid_fold_0","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"invalid_fold_-1","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"invalid_fold_1.5","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"invalid_fold_11","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"character_fold_rejected","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"factor_fold_rejected","fold_contract",TRUE,TRUE,TRUE,"Fold IDs must be finite integers in 1..K for fivefold/binary"
"missing_fold_column","fold_contract",TRUE,TRUE,TRUE,"Malformed fold table for fivefold/binary"
"non_dataframe_table","fold_contract",TRUE,TRUE,TRUE,"Malformed fold table for fivefold/binary"
"missing_fold_id","fold_contract",TRUE,TRUE,TRUE,"Fold IDs are incomplete for fivefold/binary"
"duplicate_species_same_fold","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"duplicate_species_conflicting_fold","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"NA_species","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"empty_species","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"missing_species","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"unknown_species","fold_contract",TRUE,TRUE,TRUE,"Fold species universe does not match route for fivefold/binary"
"missing_route","fold_contract",TRUE,TRUE,TRUE,"Fold routes must match binary and joint_bb exactly for fivefold"
"duplicate_route_name","fold_contract",TRUE,TRUE,TRUE,"Fold routes must match binary and joint_bb exactly for fivefold"
"duplicate_column_name","fold_contract",TRUE,TRUE,TRUE,"Malformed fold table for fivefold/binary"
"configured_twofold_test_design","fold_contract",FALSE,FALSE,TRUE,"accepted"
"valid_joint_record_equal","joint_range",FALSE,FALSE,TRUE,"accepted"
"prediction_record_equal_count_-0.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_count_1.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_count_-2.22044604925031e-16","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_count_1","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_count_NA","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"prediction_record_equal_count_NaN","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"prediction_record_equal_count_Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"prediction_record_equal_count_-Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"prediction_record_equal_exact_-0.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_exact_1.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_exact_-2.22044604925031e-16","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_exact_1","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_exact_NA","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"prediction_record_equal_exact_NaN","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"prediction_record_equal_exact_Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"prediction_record_equal_exact_-Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"prediction_record_equal_interval_-0.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_interval_1.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_interval_-2.22044604925031e-16","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_interval_1","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"prediction_record_equal_interval_NA","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r4"
"prediction_record_equal_interval_NaN","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r4"
"prediction_record_equal_interval_Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r4"
"prediction_record_equal_interval_-Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r4"
"observation_record_equal_count_-0.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_count_1.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_count_-2.22044604925031e-16","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_count_1","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_count_NA","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"observation_record_equal_count_NaN","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"observation_record_equal_count_Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"observation_record_equal_count_-Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r1"
"observation_record_equal_exact_-0.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_exact_1.2","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_exact_-2.22044604925031e-16","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_exact_1","joint_range",TRUE,TRUE,TRUE,"Joint point predictions and count/exact observations must be within [0,1]"
"observation_record_equal_exact_NA","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"observation_record_equal_exact_NaN","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"observation_record_equal_exact_Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"observation_record_equal_exact_-Inf","joint_range",TRUE,TRUE,TRUE,"Nonfinite joint point inputs; records: r2"
"valid_prediction_boundary_record_equal_count_0","joint_range",FALSE,FALSE,TRUE,"accepted"
"valid_prediction_boundary_record_equal_count_1","joint_range",FALSE,FALSE,TRUE,"accepted"
"valid_prediction_boundary_record_equal_exact_0","joint_range",FALSE,FALSE,TRUE,"accepted"
"valid_prediction_boundary_record_equal_exact_1","joint_range",FALSE,FALSE,TRUE,"accepted"
