"Species","Fold"
"Carassius_auratus",2
"Carassius_carassius",2
"Cirrhinus_molitorella",1
"Ctenopharyngodon_idella",5
"Danio_rerio",3
"Pygocentrus_nattereri",4
"Thunnus_orientalis",5
"Pampus_argenteus",4
"Pterapogon_kauderni",5
"Oxyeleotris_marmorata",4
"Channa_argus",4
"Trichopodus_trichopterus",2
"Lates_calcarifer",1
"Eleutheronema_tetradactylum",1
"Seriola_dumerili",3
"Paralichthys_olivaceus",2
"Platichthys_stellatus",2
"Scophthalmus_maximus",1
"Astronotus_ocellatus",5
"Oreochromis_niloticus",1
"Pterophyllum_scalare",3
"Poecilia_latipinna",2
"Poecilia_reticulata",5
"Poropanchax_normani",5
"Xiphophorus_hellerii",2
"Xiphophorus_maculatus",1
"Mugil_cephalus",3
"Larimichthys_crocea",3
"Sciaenops_ocellatus",5
"Platax_orbicularis",5
"Lutjanus_erythropterus",1
"Lethrinus_nebulosus",2
"Acanthopagrus_schlegelii",4
"Pagrus_major",4
"Rhabdosargus_sarba",3
"Lateolabrax_japonicus",1
"Lateolabrax_maculatus",3
"Micropterus_salmoides",1
"Oplegnathus_fasciatus",4
"Oplegnathus_punctatus",1
"Maccullochella_peelii",3
"Siniperca_chuatsi",4
"Siniperca_scherzeri",5
"Cromileptes_altivelis",2
"Epinephelus_bruneus",3
"Epinephelus_coioides",2
"Epinephelus_fuscoguttatus",4
"Epinephelus_lanceolatus",4
"Epinephelus_malabaricus",3
"Plectropomus_leopardus",5
